ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+UN+PD+DB","0.00","5.41(3.37,7.43)","12.54(10.03,15.07)","12.11(8.78,15.49)","0.0002","0.0002","0.0002","1.0020","1.0027","1.0063",2540,1857,1452,3191,2965,2842,"4.87(4.62,5.12)","0.0002","1.0009",2564,2966,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.85(-2.12,-1.58)","0.0002","1.0020",2358,2903,"0.00(-0.00,0.01)","0.6880","1.0000",4773,4255,"-0.71(-1.37,-0.00)","0.0481","1.0045",1942,3023
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA+OB+UN+PD","0.00","10.62(8.33,12.88)","21.21(18.48,23.89)","14.25(10.65,17.86)","0.0002","0.0002","0.0002","1.0011","1.0016","1.0024",3049,2311,2240,3547,3202,3198,"",NA,"NA",NA,NA,"-0.04(-0.18,0.11)","0.6284","1.0040",2021,2425,"2.47(2.23,2.71)","0.0002","1.0031",2104,2903,"-1.35(-1.65,-1.04)","0.0002","1.0020",2376,2780,"-0.01(-0.01,0.00)","0.1260","1.0018",3519,3535,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA+OB+UN+DB","0.00","11.18(8.91,13.49)","22.95(20.19,25.74)","18.99(15.07,22.80)","0.0002","0.0002","0.0002","1.0007","1.0026","1.0018",3513,2792,2710,3407,3191,3286,"",NA,"NA",NA,NA,"-0.11(-0.23,0.01)","0.0777","1.0007",2625,3428,"3.24(2.94,3.55)","0.0002","1.0028",2570,3124,"-1.28(-1.57,-0.97)","0.0002","1.0012",3146,3443,"",NA,"NA",NA,NA,"-3.22(-4.26,-2.21)","0.0002","1.0042",2465,3110
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA+OB+PD+DB","0.00","9.54(7.31,11.79)","19.53(16.90,22.21)","14.62(10.75,18.31)","0.0002","0.0002","0.0002","1.0005","1.0011","1.0020",3541,2766,2545,3735,3636,3177,"",NA,"NA",NA,NA,"-0.15(-0.29,-0.01)","0.0360","1.0017",2522,3209,"3.09(2.75,3.42)","0.0002","1.0016",2669,3370,"",NA,"NA",NA,NA,"0.00(-0.01,0.01)","0.7521","1.0007",5088,3578,"-3.45(-4.45,-2.38)","0.0002","1.0023",2622,2963
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA+UN+PD+DB","0.00","11.91(9.50,14.36)","23.94(21.05,26.87)","19.07(14.96,23.21)","0.0002","0.0002","0.0002","1.0012","1.0010","1.0007",2384,1858,1658,3134,2365,2210,"",NA,"NA",NA,NA,"0.43(0.29,0.58)","0.0002","1.0053",1013,1876,"",NA,"NA",NA,NA,"-1.06(-1.37,-0.75)","0.0002","1.0030",1890,3143,"-0.03(-0.04,-0.02)","0.0002","1.0014",4155,3507,"3.78(3.01,4.54)","0.0002","1.0006",1493,2472
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+OB+UN+PD+DB","0.00","11.46(9.14,13.75)","23.68(20.86,26.34)","20.26(16.47,24.04)","0.0002","0.0002","0.0002","1.0017","1.0019","1.0018",2957,2365,2189,3584,2988,3125,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.12(2.81,3.42)","0.0002","1.0007",2527,3113,"-1.32(-1.63,-1.01)","0.0002","1.0003",2242,3073,"-0.01(-0.01,0.00)","0.0998","1.0011",4559,3399,"-3.13(-4.11,-2.12)","0.0002","1.0029",2597,3236
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA+OB+UN+PD","0.00","5.03(2.95,7.14)","11.35(8.89,13.85)","9.08(5.77,12.36)","0.0002","0.0002","0.0002","1.0003","0.9998","1.0002",3446,2528,2422,3452,3103,3176,"4.74(4.46,5.02)","0.0002","1.0004",3838,3773,"-0.11(-0.24,0.02)","0.0994","1.0015",2628,3575,"0.12(-0.13,0.36)","0.3431","1.0002",2970,3569,"-1.86(-2.13,-1.59)","0.0002","1.0005",2444,3255,"0.00(-0.00,0.01)","0.1718","1.0007",4760,4006,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA+OB+UN+DB","0.00","5.73(3.66,7.81)","13.03(10.46,15.51)","12.49(9.02,15.95)","0.0002","0.0002","0.0002","1.0003","1.0008","1.0014",2961,2092,2107,3321,2952,3171,"4.67(4.38,4.95)","0.0002","1.0010",3316,3667,"-0.08(-0.20,0.04)","0.1860","1.0037",2365,3309,"0.40(0.08,0.72)","0.0131","1.0005",2251,3004,"-1.86(-2.13,-1.59)","0.0002","1.0006",2754,3346,"",NA,"NA",NA,NA,"-1.44(-2.33,-0.55)","0.0019","1.0007",2261,2962
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA+OB+PD+DB","0.00","3.07(1.01,5.21)","7.51(5.03,10.16)","4.86(1.35,8.49)","0.0056","0.0002","0.0073","1.0022","1.0036","1.0040",2443,1700,1521,3507,2745,3121,"4.49(4.19,4.79)","0.0002","1.0014",2952,3262,"-0.24(-0.37,-0.10)","0.0002","1.0023",2188,2906,"0.48(0.13,0.83)","0.0044","1.0005",2473,2990,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0023","1.0012",4660,4164,"-1.95(-2.89,-1.03)","0.0002","1.0018",2312,3285
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA+UN+PD+DB","0.00","5.31(3.22,7.37)","12.11(9.50,14.79)","11.35(7.63,15.01)","0.0002","0.0002","0.0002","1.0011","1.0016","1.0023",3272,2556,2446,3560,3426,3077,"4.89(4.64,5.15)","0.0002","1.0003",4154,3581,"-0.08(-0.21,0.05)","0.2343","1.0017",2996,3537,"",NA,"NA",NA,NA,"-1.83(-2.09,-1.56)","0.0002","1.0011",2718,3442,"0.00(-0.00,0.01)","0.3980","1.0010",4950,3950,"-0.65(-1.31,0.02)","0.0627","1.0033",3334,3611
