ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"C00_C97","2011_2015",10,"SVI+PA+UN+DB","0.00","11.84(9.17,14.50)","23.70(20.57,26.81)","23.23(18.61,27.73)","0.0002","0.0002","0.0002","1.0017","1.0027","1.0040",2665,1989,1728,3517,3244,2777,"",NA,"NA",NA,NA,"1.03(0.89,1.16)","0.0002","1.0042",1700,2581,"",NA,"NA",NA,NA,"-1.70(-2.05,-1.36)","0.0002","1.0014",1790,2783,"",NA,"NA",NA,NA,"7.71(6.85,8.55)","0.0002","1.0028",1748,2541
"C00_C97","2011_2015",10,"SVI+PA+PD+DB","0.00","10.02(7.24,12.66)","19.92(16.79,22.97)","19.01(14.69,23.46)","0.0002","0.0002","0.0002","1.0018","1.0018","1.0018",2120,1713,1513,3124,2428,2543,"",NA,"NA",NA,NA,"0.95(0.81,1.10)","0.0002","1.0028",1777,2882,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.01,0.01)","0.6722","1.0010",4054,3826,"6.50(5.60,7.37)","0.0002","1.0038",1407,2121
"C00_C97","2011_2015",10,"SVI+OB+UN+PD","0.00","11.41(8.70,13.99)","21.88(18.81,24.77)","20.95(17.12,24.63)","0.0002","0.0002","0.0002","1.0022","1.0028","1.0028",3287,2661,2535,3208,3143,3328,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.46(3.22,3.69)","0.0002","1.0010",1551,2689,"-1.70(-2.05,-1.37)","0.0002","1.0010",2288,3143,"0.03(0.02,0.04)","0.0002","1.0006",5121,3613,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+OB+UN+DB","0.00","12.07(9.48,14.72)","22.15(19.07,25.38)","19.45(15.05,23.91)","0.0002","0.0002","0.0002","1.0010","1.0008","1.0010",2821,2392,1987,3284,2933,2977,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.78(2.43,3.13)","0.0002","1.0006",2755,3022,"-1.84(-2.19,-1.49)","0.0002","1.0015",2277,3048,"",NA,"NA",NA,NA,"2.00(0.79,3.21)","0.0031","1.0008",2450,2992
"C00_C97","2011_2015",10,"SVI+OB+PD+DB","0.00","9.01(6.25,11.80)","16.68(13.56,19.82)","13.37(9.21,17.74)","0.0002","0.0002","0.0002","1.0015","1.0019","1.0016",3475,2901,2682,3465,3086,3124,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.84(2.48,3.20)","0.0002","1.0061",1941,2842,"",NA,"NA",NA,NA,"0.03(0.03,0.04)","0.0002","1.0006",4863,3627,"1.21(-0.03,2.44)","0.0556","1.0024",2512,2715
"C00_C97","2011_2015",10,"SVI+UN+PD+DB","0.00","12.03(9.46,14.69)","23.34(20.21,26.43)","23.57(18.85,28.37)","0.0002","0.0002","0.0002","1.0037","1.0013","1.0007",1646,1165,976,2416,1955,1660,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.98(-2.39,-1.59)","0.0002","1.0023",1397,2326,"-0.00(-0.01,0.01)","0.7492","1.0003",2083,2988,"5.63(4.55,6.71)","0.0002","1.0005",977,1833
"C00_C97","2011_2015",10,"SVI+SM+PA+OB+UN","0.00","8.68(6.18,11.16)","19.27(16.34,22.14)","27.74(23.96,31.64)","0.0002","0.0002","0.0002","1.0005","1.0005","1.0017",4048,3049,2906,3869,3721,3667,"4.18(3.83,4.54)","0.0002","1.0006",3464,3180,"0.79(0.65,0.92)","0.0002","1.0008",3178,3742,"0.44(0.15,0.74)","0.0048","1.0026",3320,3267,"-2.47(-2.78,-2.15)","0.0002","1.0003",2728,3341,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+PA+OB+PD","0.00","4.80(2.14,7.39)","10.80(7.75,13.89)","15.47(11.51,19.46)","0.0006","0.0002","0.0002","1.0010","1.0005","1.0015",3852,2833,2699,3914,3369,3432,"4.01(3.62,4.39)","0.0002","1.0010",3389,3533,"0.46(0.30,0.61)","0.0002","1.0013",2733,3361,"0.47(0.14,0.80)","0.0027","1.0018",3039,3173,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0010",5239,4002,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+PA+OB+DB","0.00","5.15(2.53,7.77)","11.16(8.10,14.23)","14.58(10.41,18.97)","0.0010","0.0002","0.0002","1.0028","1.0040","1.0044",2513,1707,1680,2993,2919,3169,"3.94(3.58,4.32)","0.0002","1.0002",2350,3335,"0.72(0.58,0.86)","0.0002","1.0006",2329,3106,"-0.52(-0.95,-0.11)","0.0098","1.0003",2117,2965,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.69(1.55,3.87)","0.0002","1.0028",2008,2620
"C00_C97","2011_2015",10,"SVI+SM+PA+UN+PD","0.00","7.68(5.09,10.25)","17.49(14.41,20.50)","26.90(23.10,30.69)","0.0002","0.0002","0.0002","1.0009","1.0018","1.0031",2630,1999,1919,3321,2905,2832,"4.73(4.44,5.04)","0.0002","1.0008",2063,2620,"0.72(0.57,0.86)","0.0002","1.0026",1865,2612,"",NA,"NA",NA,NA,"-2.29(-2.61,-1.97)","0.0002","1.0044",2147,3324,"0.02(0.01,0.02)","0.0006","1.0001",3815,3304,"",NA,"NA",NA,NA
