COUNTY_FIPS,Cluster_EQI
41003,C
41005,C
41007,C
41009,C
41011,C
41013,C
41015,C
41017,C
41019,C
41021,C
41023,A
41025,A
41027,C
41029,C
41031,B
41033,C
41035,C
41037,C
41039,C
41041,C
41043,C
41045,C
41047,C
41049,A
41051,C
41053,C
41055,A
41057,C
41059,C
41061,C
41063,C
41065,C
41067,C
41069,A
41071,C
42001,B
42003,B
42005,B
42007,B
42009,B
42011,B
42013,B
42015,B
42017,B
42019,B
42021,B
42023,B
42025,B
42027,B
42029,B
42031,B
42033,B
42035,B
42037,B
42039,B
42041,B
42043,B
42045,B
42047,B
42049,B
42051,B
42053,A
42055,B
42057,B
42059,B
42061,B
42063,B
42065,B
42067,B
42069,B
42071,B
42073,B
42075,B
42077,B
42079,B
42081,B
42083,B
42085,B
42087,B
42089,B
42091,B
42093,B
42095,B
42097,B
42099,B
42101,B
42103,B
42105,B
42107,B
42109,B
42111,B
42113,A
42115,B
42117,B
42119,B
42121,B
42123,B
42125,B
42127,B
42129,B
42131,B
42133,B
44001,C
44003,C
44005,C
44007,C
44009,C
45001,C
45003,C
45005,A
45007,C
45009,A
45011,A
45013,C
45015,C
45017,B
45019,C
45021,C
45023,C
45025,A
45027,A
45029,C
45031,C
45033,A
45035,C
45037,B
45039,A
45041,C
45043,C
45045,C
45047,C
45049,A
45051,C
45053,A
45055,C
45057,C
45059,C
45061,A
45063,C
45065,A
45067,A
45069,A
45071,C
45073,C
45075,C
45077,C
45079,C
45081,A
45083,C
45085,C
45087,C
45089,A
45091,C
46003,A
46005,B
46007,A
46009,B
46011,C
46013,C
46015,B
46017,A
46019,A
46021,A
46023,A
46025,A
46027,B
46029,B
46031,A
46033,C
46035,B
46037,A
46039,B
46041,A
46043,A
46045,A
46047,A
46049,A
46051,B
46053,A
46055,A
46057,A
46059,B
46061,A
46063,A
46065,C
46067,B
46069,A
46071,A
46073,A
46075,A
46077,A
46079,C
46081,C
46083,B
46085,A
46087,B
46089,A
46091,A
46093,C
46095,A
46097,A
46099,C
46101,B
46103,C
46105,A
46107,A
46109,C
46111,A
46113,A
46115,A
46117,A
46119,A
46121,A
46123,B
46125,A
46127,C
46129,A
46135,B
46137,A
47001,C
47003,C
47005,A
47007,A
47009,C
47011,C
47013,A
47015,A
47017,A
47019,C
47021,C
47023,A
47025,A
47027,A
47029,A
47031,C
47033,A
47035,B
47037,C
47039,A
47041,B
47043,C
47045,C
47047,A
47049,A
47051,C
47053,C
47055,C
47057,A
47059,C
47061,A
47063,C
47065,C
47067,A
47069,A
47071,A
47073,C
47075,A
47077,B
47079,B
47081,A
47083,B
47085,C
47087,A
47089,C
47091,A
47093,C
47095,A
47097,A
47099,A
47101,A
47103,B
47105,C
47107,C
47109,B
47111,A
47113,C
47115,A
47117,C
47119,C
47121,B
47123,C
47125,C
47127,A
47129,A
47131,C
47133,A
47135,A
47137,A
47139,A
47141,C
47143,A
47145,C
47147,C
47149,C
47151,A
47153,A
47155,C
47157,C
47159,C
47161,A
47163,C
47165,C
47167,B
47169,B
47171,A
47173,B
47175,A
47177,B
47179,C
47181,A
47183,A
47185,A
47187,C
47189,C
48001,A
48003,A
48005,C
48007,B
48009,A
48011,A
48013,A
48015,C
48017,A
48019,A
48021,C
48023,A
48025,A
48027,C
48029,C
48031,C
48033,A
48035,A
48037,C
48039,C
48041,C
48043,C
48045,A
48047,A
48049,C
48051,A
48053,C
48055,C
48057,C
48059,A
48061,A
48063,A
48065,A
48067,A
48069,A
48071,C
48073,A
48075,B
48077,A
48079,A
48081,A
48083,A
48085,C
48087,A
48089,C
48091,C
48093,A
48095,A
48097,C
48099,A
48101,A
48103,A
48105,A
48107,A
48109,A
48111,C
48113,C
48115,A
48117,A
48119,A
48121,C
48123,B
48125,A
48127,A
48129,A
48131,A
48133,A
48135,C
48137,A
48139,C
48141,C
48143,A
48145,A
48147,C
48149,C
48151,A
48153,A
48155,A
48157,C
48159,A
48161,A
48163,A
48165,A
48167,C
48169,A
48171,C
48173,A
48175,B
48177,A
48179,C
48181,C
48183,B
48185,A
48187,C
48189,C
48191,A
48193,A
48195,A
48197,A
48199,C
48201,C
48203,C
48205,A
48207,A
48209,C
48211,C
48213,A
48215,A
48217,C
48219,A
48221,C
48223,A
48225,A
48227,B
48229,A
48231,C
48233,C
48235,A
48237,A
48239,A
48241,C
48243,A
48245,C
48247,A
48249,A
48251,C
48253,A
48255,A
48257,C
48259,C
48261,A
48263,A
48265,C
48267,A
48269,A
48271,A
48273,A
48275,A
48277,C
48279,A
48281,A
48283,A
48285,A
48287,C
48289,A
48291,C
48293,A
48295,A
48297,A
48299,C
48301,A
48303,C
48305,A
48307,A
48309,C
48311,A
48313,A
48315,A
48317,A
48319,A
48321,A
48323,A
48325,C
48327,A
48329,C
48331,C
48333,A
48335,A
48337,A
48339,C
48341,C
48343,A
48345,A
48347,C
48349,C
48351,A
48353,C
48355,C
48357,A
48359,A
48361,C
48363,C
48365,A
48367,C
48369,A
48371,A
48373,A
48375,B
48377,A
48379,A
48381,C
48383,A
48385,A
48387,A
48389,A
48391,A
48393,A
48395,A
48397,B
48399,A
48401,C
48403,A
48405,A
48407,A
48409,C
48411,A
48413,A
48415,A
48417,A
48419,A
48421,A
48423,A
48425,C
48427,A
48429,C
48431,A
48433,A
48435,A
48437,A
48439,C
48441,C
48443,A
48445,A
48447,A
48449,A
48451,C
48453,C
48455,A
48457,A
48459,A
48461,A
48463,A
48465,A
48467,C
48469,C
48471,A
48473,A
48475,A
48477,C
48479,A
48481,C
48483,A
48485,C
48487,C
48489,A
48491,C
48493,C
48495,A
48497,C
48499,A
48501,A
48503,C
48505,A
48507,A
49001,A
49003,C
49005,C
49007,B
49009,A
49011,C
49013,A
49015,A
49017,A
