Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,I10_I15,I10_I15,HD,EQI Quintile,Q3,41069,180414358,20.2647,0.1005,20.0692,20.4617,20.26 ± 0.10
2006-2010,I10_I15,I10_I15,HD,EQI Quintile,Q4,52502,260777432,18.2217,0.0799,18.0662,18.3782,18.22 ± 0.08
2006-2010,I10_I15,I10_I15,HD,EQI Quintile,Q5 (worst),173120,926838167,18.3035,0.0443,18.2174,18.3899,18.30 ± 0.04
2006-2010,I20_I25,I20_I25,IHD,EQI Quintile,National,2001695,1518958027,124.7294,0.0885,124.5567,124.9023,124.73 ± 0.09
2006-2010,I20_I25,I20_I25,IHD,EQI Quintile,Q1 (best),84083,54149786,140.7229,0.4876,139.7733,141.6774,140.72 ± 0.49
2006-2010,I20_I25,I20_I25,IHD,EQI Quintile,Q2,160893,96778284,137.7605,0.3452,137.0882,138.4353,137.76 ± 0.35
2006-2010,I20_I25,I20_I25,IHD,EQI Quintile,Q3,266422,180414358,130.6893,0.2541,130.1936,131.1866,130.69 ± 0.25
2006-2010,I20_I25,I20_I25,IHD,EQI Quintile,Q4,384173,260777432,133.3361,0.216,132.9148,133.7585,133.34 ± 0.22
2006-2010,I20_I25,I20_I25,IHD,EQI Quintile,Q5 (worst),1106124,926838167,118.3243,0.1132,118.1039,118.545,118.32 ± 0.11
2006-2010,I50,I50,HF,EQI Quintile,National,287757,1518958027,17.9453,0.0336,17.8798,18.011,17.95 ± 0.03
2006-2010,I50,I50,HF,EQI Quintile,Q1 (best),14682,54149786,25.0281,0.2071,24.6249,25.4363,25.03 ± 0.21
2006-2010,I50,I50,HF,EQI Quintile,Q2,25291,96778284,21.768,0.1373,21.5005,22.0379,21.77 ± 0.14
2006-2010,I50,I50,HF,EQI Quintile,Q3,38336,180414358,18.8435,0.0964,18.6554,19.0331,18.84 ± 0.10
2006-2010,I50,I50,HF,EQI Quintile,Q4,55689,260777432,19.2351,0.0817,19.0757,19.3955,19.24 ± 0.08
2006-2010,I50,I50,HF,EQI Quintile,Q5 (worst),153759,926838167,16.4329,0.0421,16.3509,16.5153,16.43 ± 0.04
2006-2010,I60_I69,I60_I69,Stroke,EQI Quintile,National,664994,1518958027,41.7438,0.0514,41.6435,41.8443,41.74 ± 0.05
2006-2010,I60_I69,I60_I69,Stroke,EQI Quintile,Q1 (best),26199,54149786,44.2864,0.2747,43.7518,44.826,44.29 ± 0.27
2006-2010,I60_I69,I60_I69,Stroke,EQI Quintile,Q2,52580,96778284,45.3082,0.1984,44.9218,45.6972,45.31 ± 0.20
2006-2010,I60_I69,I60_I69,Stroke,EQI Quintile,Q3,90564,180414358,44.7478,0.1492,44.4569,45.0402,44.75 ± 0.15
2006-2010,I60_I69,I60_I69,Stroke,EQI Quintile,Q4,126713,260777432,44.2049,0.1246,43.9618,44.4489,44.20 ± 0.12
2006-2010,I60_I69,I60_I69,Stroke,EQI Quintile,Q5 (worst),368938,926838167,39.7598,0.0658,39.6316,39.8883,39.76 ± 0.07
2006-2010,X60_X69,X60_X69,NVS,EQI Quintile,National,31691,1518958027,2.0293,0.0115,2.0071,2.0518,2.03 ± 0.01
2006-2010,X60_X69,X60_X69,NVS,EQI Quintile,Q1 (best),701,54149786,1.2754,0.0488,1.1828,1.3735,1.28 ± 0.05
2006-2010,X60_X69,X60_X69,NVS,EQI Quintile,Q2,1934,96778284,1.9572,0.0453,1.8709,2.0464,1.96 ± 0.05
2006-2010,X60_X69,X60_X69,NVS,EQI Quintile,Q3,3937,180414358,2.1522,0.0348,2.0855,2.2205,2.15 ± 0.03
2006-2010,X60_X69,X60_X69,NVS,EQI Quintile,Q4,5308,260777432,2.0156,0.028,1.9617,2.0705,2.02 ± 0.03
2006-2010,X60_X69,X60_X69,NVS,EQI Quintile,Q5 (worst),19811,926838167,2.0672,0.0148,2.0385,2.0962,2.07 ± 0.01
