Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
CLD,"70,163 (0.19‰)",18.52 ± 0.07,"89,453 (0.24‰)",21.07 ± 0.07,"107,241 (0.27‰)",23.02 ± 0.07,"101,308 (0.31‰)",31.75 ± 0.10
Non-cancer CLD,"49,083 (0.14‰)",12.90 ± 0.06,"61,330 (0.16‰)",14.53 ± 0.06,"73,969 (0.19‰)",16.14 ± 0.06,"71,689 (0.22‰)",23.17 ± 0.09
Liver cancer,"21,080 (0.06‰)",5.62 ± 0.04,"28,123 (0.07‰)",6.54 ± 0.04,"33,272 (0.08‰)",6.88 ± 0.04,"29,619 (0.09‰)",8.59 ± 0.05
Toxic & chronic,"18,440 (0.05‰)",4.89 ± 0.04,"23,358 (0.06‰)",5.51 ± 0.04,"26,679 (0.07‰)",5.69 ± 0.04,"26,146 (0.08‰)",8.03 ± 0.05
Alcoholic,"17,936 (0.05‰)",4.65 ± 0.04,"22,879 (0.06‰)",5.43 ± 0.04,"30,756 (0.08‰)",6.88 ± 0.04,"30,918 (0.10‰)",10.68 ± 0.06
Non-alcoholic,"6,849 (0.02‰)",1.80 ± 0.02,"8,951 (0.02‰)",2.12 ± 0.02,"9,802 (0.02‰)",2.10 ± 0.02,"8,788 (0.03‰)",2.63 ± 0.03
HRS,615 (0.00‰),0.16 ± 0.01,645 (0.00‰),0.15 ± 0.01,661 (0.00‰),0.14 ± 0.01,568 (0.00‰),0.18 ± 0.01
EQI Quintile (Q1 (best)),,,,,,,,
CLD,"12,065 (0.22‰)",19.71 ± 0.18,"15,045 (0.27‰)",22.44 ± 0.19,"18,149 (0.32‰)",25.36 ± 0.19,"17,004 (0.38‰)",36.14 ± 0.29
Non-cancer CLD,"8,363 (0.15‰)",13.75 ± 0.15,"10,544 (0.19‰)",15.97 ± 0.16,"12,649 (0.22‰)",18.22 ± 0.17,"12,274 (0.28‰)",27.22 ± 0.26
Liver cancer,"3,702 (0.07‰)",5.97 ± 0.10,"4,501 (0.08‰)",6.46 ± 0.10,"5,500 (0.10‰)",7.15 ± 0.10,"4,730 (0.11‰)",8.91 ± 0.14
Toxic & chronic,"3,670 (0.07‰)",5.95 ± 0.10,"4,776 (0.09‰)",7.07 ± 0.10,"5,295 (0.09‰)",7.29 ± 0.10,"4,997 (0.11‰)",10.46 ± 0.16
Alcoholic,"2,413 (0.04‰)",4.06 ± 0.08,"3,071 (0.06‰)",4.87 ± 0.09,"4,356 (0.08‰)",6.73 ± 0.11,"4,591 (0.10‰)",11.15 ± 0.17
Non-alcoholic,"1,199 (0.02‰)",1.96 ± 0.06,"1,574 (0.03‰)",2.34 ± 0.06,"1,765 (0.03‰)",2.45 ± 0.06,"1,545 (0.03‰)",3.17 ± 0.09
HRS,110 (0.00‰),0.18 ± 0.02,145 (0.00‰),0.22 ± 0.02,125 (0.00‰),0.18 ± 0.02,83 (0.00‰),0.18 ± 0.02
EQI Quintile (Q2),,,,,,,,
CLD,"23,085 (0.24‰)",20.08 ± 0.13,"29,257 (0.29‰)",23.39 ± 0.14,"34,835 (0.34‰)",25.73 ± 0.14,"32,380 (0.39‰)",36.03 ± 0.21
Non-cancer CLD,"16,486 (0.17‰)",14.51 ± 0.11,"20,373 (0.20‰)",16.66 ± 0.12,"24,106 (0.24‰)",18.46 ± 0.12,"22,956 (0.28‰)",26.80 ± 0.19
Toxic & chronic,"7,152 (0.07‰)",6.18 ± 0.07,"8,733 (0.09‰)",6.96 ± 0.08,"9,856 (0.10‰)",7.21 ± 0.08,"9,278 (0.11‰)",10.14 ± 0.11
Liver cancer,"6,599 (0.07‰)",5.57 ± 0.07,"8,884 (0.09‰)",6.73 ± 0.07,"10,729 (0.10‰)",7.27 ± 0.07,"9,424 (0.11‰)",9.23 ± 0.10
Alcoholic,"5,202 (0.05‰)",4.70 ± 0.07,"6,380 (0.06‰)",5.47 ± 0.07,"8,506 (0.08‰)",7.00 ± 0.08,"8,589 (0.10‰)",11.14 ± 0.13
Non-alcoholic,"2,074 (0.02‰)",1.81 ± 0.04,"3,051 (0.03‰)",2.43 ± 0.05,"3,306 (0.03‰)",2.42 ± 0.04,"3,032 (0.04‰)",3.24 ± 0.06
HRS,219 (0.00‰),0.19 ± 0.01,237 (0.00‰),0.19 ± 0.01,260 (0.00‰),0.19 ± 0.01,210 (0.00‰),0.24 ± 0.02
