Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
Ovarian,"25,412 (0.05‰)",4.38 ± 0.03,"25,173 (0.04‰)",3.82 ± 0.02,"25,155 (0.04‰)",3.36 ± 0.02,,
Prostate,"51,363 (0.09‰)",9.22 ± 0.04,"50,832 (0.09‰)",7.92 ± 0.04,"57,720 (0.09‰)",7.76 ± 0.03,,
Kidney,"24,001 (0.04‰)",4.12 ± 0.03,"26,513 (0.05‰)",4.01 ± 0.02,"27,872 (0.05‰)",3.70 ± 0.02,,
NHL,"35,820 (0.06‰)",6.31 ± 0.03,"36,267 (0.06‰)",5.63 ± 0.03,"36,974 (0.06‰)",5.02 ± 0.03,,
Leukemia,"39,153 (0.07‰)",6.92 ± 0.04,"41,893 (0.07‰)",6.56 ± 0.03,"43,471 (0.07‰)",5.98 ± 0.03,,
Census Region (West),,,,,,,,
Cancer,"548,904 (1.56‰)",161.21 ± 0.22,"583,354 (1.57‰)",148.56 ± 0.20,"611,360 (1.57‰)",136.17 ± 0.18,,
Colorectal,"50,957 (0.14‰)",14.96 ± 0.07,"52,546 (0.14‰)",13.37 ± 0.06,"54,898 (0.14‰)",12.31 ± 0.05,,
Liver,"21,359 (0.06‰)",6.09 ± 0.04,"28,440 (0.08‰)",6.96 ± 0.04,"32,903 (0.08‰)",7.08 ± 0.04,,
Pancreatic,"35,539 (0.10‰)",10.42 ± 0.06,"40,775 (0.11‰)",10.32 ± 0.05,"46,792 (0.12‰)",10.31 ± 0.05,,
Lung,"136,238 (0.39‰)",40.35 ± 0.11,"133,180 (0.36‰)",34.03 ± 0.09,"121,108 (0.31‰)",26.73 ± 0.08,,
Breast,"40,944 (0.12‰)",11.77 ± 0.06,"43,089 (0.12‰)",10.87 ± 0.05,"45,478 (0.12‰)",10.23 ± 0.05,,
Ovarian,"15,436 (0.04‰)",4.47 ± 0.04,"15,828 (0.04‰)",4.00 ± 0.03,"15,735 (0.04‰)",3.49 ± 0.03,,
Prostate,"30,597 (0.09‰)",9.29 ± 0.05,"31,600 (0.08‰)",8.23 ± 0.05,"37,088 (0.10‰)",8.35 ± 0.04,,
Kidney,"12,553 (0.04‰)",3.65 ± 0.03,"14,088 (0.04‰)",3.55 ± 0.03,"14,939 (0.04‰)",3.31 ± 0.03,,
NHL,"20,787 (0.06‰)",6.18 ± 0.04,"21,182 (0.06‰)",5.49 ± 0.04,"21,731 (0.06‰)",4.90 ± 0.03,,
Leukemia,"22,608 (0.06‰)",6.71 ± 0.04,"23,854 (0.06‰)",6.22 ± 0.04,"24,241 (0.06‰)",5.55 ± 0.04,,
Köppen-Geiger Climate Zone (Dry),,,,,,,,
Cancer,"269,032 (1.58‰)",157.28 ± 0.30,"288,221 (1.59‰)",145.87 ± 0.27,"305,384 (1.59‰)",134.23 ± 0.25,,
Colorectal,"25,847 (0.15‰)",15.13 ± 0.09,"26,993 (0.15‰)",13.69 ± 0.08,"28,808 (0.15‰)",12.77 ± 0.08,,
Liver,"10,101 (0.06‰)",5.81 ± 0.06,"13,401 (0.07‰)",6.63 ± 0.06,"16,222 (0.08‰)",6.96 ± 0.06,,
Pancreatic,"17,403 (0.10‰)",10.14 ± 0.08,"19,991 (0.11‰)",10.05 ± 0.07,"23,375 (0.12‰)",10.16 ± 0.07,,
Lung,"67,954 (0.40‰)",39.71 ± 0.15,"67,425 (0.37‰)",34.00 ± 0.13,"62,249 (0.33‰)",26.98 ± 0.11,,
Breast,"19,680 (0.12‰)",11.42 ± 0.08,"20,836 (0.11‰)",10.60 ± 0.07,"22,572 (0.12‰)",10.12 ± 0.07,,
Ovarian,"7,074 (0.04‰)",4.11 ± 0.05,"7,531 (0.04‰)",3.80 ± 0.04,"7,488 (0.04‰)",3.30 ± 0.04,,
Prostate,"15,089 (0.09‰)",9.00 ± 0.07,"15,715 (0.09‰)",8.01 ± 0.06,"18,214 (0.10‰)",7.96 ± 0.06,,
Kidney,"6,446 (0.04‰)",3.74 ± 0.05,"7,264 (0.04‰)",3.64 ± 0.04,"7,861 (0.04‰)",3.45 ± 0.04,,
NHL,"10,173 (0.06‰)",6.01 ± 0.06,"10,226 (0.06‰)",5.25 ± 0.05,"10,532 (0.06‰)",4.67 ± 0.05,,
Leukemia,"11,095 (0.07‰)",6.56 ± 0.06,"11,796 (0.07‰)",6.09 ± 0.06,"12,130 (0.06‰)",5.47 ± 0.05,,
Köppen-Geiger Climate Zone (Temperate),,,,,,,,
Cancer,"1,790,493 (1.86‰)",178.38 ± 0.13,"1,860,802 (1.85‰)",164.72 ± 0.12,"1,909,754 (1.83‰)",150.17 ± 0.11,,
Colorectal,"167,536 (0.17‰)",16.70 ± 0.04,"166,153 (0.16‰)",14.73 ± 0.04,"169,762 (0.16‰)",13.49 ± 0.03,,
Liver,"59,818 (0.06‰)",5.83 ± 0.02,"78,533 (0.08‰)",6.71 ± 0.02,"90,407 (0.09‰)",6.88 ± 0.02,,
Pancreatic,"109,568 (0.11‰)",10.90 ± 0.03,"124,440 (0.12‰)",10.96 ± 0.03,"141,300 (0.14‰)",11.00 ± 0.03,,
Lung,"511,138 (0.53‰)",50.87 ± 0.07,"503,110 (0.50‰)",44.25 ± 0.06,"460,270 (0.44‰)",35.59 ± 0.05,,
Breast,"130,850 (0.14‰)",12.91 ± 0.04,"133,330 (0.13‰)",11.81 ± 0.03,"137,393 (0.13‰)",11.02 ± 0.03,,
Ovarian,"45,666 (0.05‰)",4.52 ± 0.02,"44,691 (0.04‰)",3.95 ± 0.02,"43,871 (0.04‰)",3.45 ± 0.02,,
Prostate,"88,676 (0.09‰)",9.05 ± 0.03,"87,317 (0.09‰)",7.86 ± 0.03,"97,836 (0.09‰)",7.73 ± 0.02,,
Kidney,"39,973 (0.04‰)",3.96 ± 0.02,"43,435 (0.04‰)",3.82 ± 0.02,"44,543 (0.04‰)",3.50 ± 0.02,,
NHL,"63,148 (0.07‰)",6.37 ± 0.03,"62,815 (0.06‰)",5.66 ± 0.02,"63,385 (0.06‰)",5.07 ± 0.02,,
Leukemia,"68,529 (0.07‰)",6.94 ± 0.03,"71,972 (0.07‰)",6.55 ± 0.02,"73,213 (0.07‰)",5.94 ± 0.02,,
Köppen-Geiger Climate Zone (Continental),,,,,,,,
Cancer,"751,259 (1.97‰)",178.38 ± 0.21,"763,760 (1.97‰)",166.35 ± 0.19,"766,051 (1.96‰)",152.80 ± 0.18,,
Colorectal,"70,262 (0.18‰)",16.58 ± 0.06,"67,191 (0.17‰)",14.63 ± 0.06,"65,736 (0.17‰)",13.27 ± 0.05,,
Liver,"20,900 (0.05‰)",4.91 ± 0.03,"26,188 (0.07‰)",5.58 ± 0.04,"30,000 (0.08‰)",5.85 ± 0.03,,
Pancreatic,"47,267 (0.12‰)",11.18 ± 0.05,"51,665 (0.13‰)",11.16 ± 0.05,"58,511 (0.15‰)",11.55 ± 0.05,,
Lung,"208,144 (0.55‰)",49.72 ± 0.11,"204,828 (0.53‰)",44.57 ± 0.10,"186,294 (0.48‰)",36.62 ± 0.09,,
Breast,"53,752 (0.14‰)",12.67 ± 0.06,"52,413 (0.14‰)",11.44 ± 0.05,"51,729 (0.13‰)",10.56 ± 0.05,,
Ovarian,"19,709 (0.05‰)",4.66 ± 0.03,"18,577 (0.05‰)",4.05 ± 0.03,"17,387 (0.04‰)",3.48 ± 0.03,,
Prostate,"37,951 (0.10‰)",8.94 ± 0.05,"36,328 (0.09‰)",7.86 ± 0.04,"39,824 (0.10‰)",7.84 ± 0.04,,
Kidney,"17,328 (0.05‰)",4.10 ± 0.03,"18,247 (0.05‰)",3.94 ± 0.03,"17,620 (0.05‰)",3.51 ± 0.03,,
NHL,"28,302 (0.07‰)",6.74 ± 0.04,"27,809 (0.07‰)",6.12 ± 0.04,"27,150 (0.07‰)",5.48 ± 0.03,,
Leukemia,"30,521 (0.08‰)",7.33 ± 0.04,"30,985 (0.08‰)",6.87 ± 0.04,"30,236 (0.08‰)",6.16 ± 0.04,,
County Economic Typology (Farming),,,,,,,,
Cancer,"41,416 (1.99‰)",166.49 ± 0.82,"41,093 (1.94‰)",155.29 ± 0.77,"41,886 (1.97‰)",148.53 ± 0.74,,
Colorectal,"4,228 (0.20‰)",16.89 ± 0.26,"4,043 (0.19‰)",15.31 ± 0.24,"4,133 (0.19‰)",14.83 ± 0.24,,
Liver,"1,169 (0.06‰)",4.73 ± 0.14,"1,488 (0.07‰)",5.59 ± 0.15,"1,834 (0.09‰)",6.44 ± 0.15,,
Pancreatic,"2,391 (0.11‰)",9.59 ± 0.20,"2,610 (0.12‰)",9.87 ± 0.20,"3,008 (0.14‰)",10.61 ± 0.20,,
Lung,"11,587 (0.56‰)",46.55 ± 0.43,"11,221 (0.53‰)",42.16 ± 0.40,"10,361 (0.49‰)",36.15 ± 0.36,,
Breast,"2,657 (0.13‰)",10.74 ± 0.21,"2,561 (0.12‰)",9.90 ± 0.20,"2,629 (0.12‰)",9.63 ± 0.19,,
Ovarian,"1,021 (0.05‰)",4.12 ± 0.13,955 (0.05‰),3.65 ± 0.12,806 (0.04‰),2.93 ± 0.11,,
Prostate,"2,535 (0.12‰)",9.92 ± 0.20,"2,296 (0.11‰)",8.43 ± 0.18,"2,352 (0.11‰)",8.07 ± 0.17,,
Kidney,"1,095 (0.05‰)",4.43 ± 0.13,"1,041 (0.05‰)",3.93 ± 0.12,"1,178 (0.06‰)",4.17 ± 0.12,,
NHL,"1,468 (0.07‰)",5.88 ± 0.15,"1,483 (0.07‰)",5.62 ± 0.15,"1,393 (0.07‰)",4.92 ± 0.13,,
Leukemia,"1,628 (0.08‰)",6.58 ± 0.16,"1,610 (0.08‰)",6.13 ± 0.15,"1,610 (0.08‰)",5.77 ± 0.15,,
County Economic Typology (Mining),,,,,,,,
Cancer,"31,395 (2.15‰)",195.39 ± 1.11,"31,878 (2.14‰)",183.50 ± 1.04,"32,062 (2.17‰)",171.54 ± 0.98,,
Colorectal,"2,942 (0.20‰)",18.41 ± 0.34,"3,013 (0.20‰)",17.52 ± 0.32,"3,046 (0.21‰)",16.59 ± 0.31,,
Liver,934 (0.06‰),5.72 ± 0.19,"1,240 (0.08‰)",6.88 ± 0.20,"1,527 (0.10‰)",7.81 ± 0.20,,
Pancreatic,"1,683 (0.12‰)",10.38 ± 0.25,"1,872 (0.13‰)",10.66 ± 0.25,"2,147 (0.15‰)",11.35 ± 0.25,,
Lung,"9,886 (0.68‰)",60.68 ± 0.61,"9,532 (0.64‰)",54.05 ± 0.56,"8,597 (0.58‰)",44.86 ± 0.49,,
Breast,"1,970 (0.13‰)",12.27 ± 0.28,"2,074 (0.14‰)",12.08 ± 0.27,"2,083 (0.14‰)",11.52 ± 0.26,,
Ovarian,694 (0.05‰),4.29 ± 0.16,638 (0.04‰),3.70 ± 0.15,643 (0.04‰),3.46 ± 0.14,,
Prostate,"1,537 (0.11‰)",10.00 ± 0.26,"1,410 (0.09‰)",8.41 ± 0.23,"1,501 (0.10‰)",8.14 ± 0.21,,
Kidney,831 (0.06‰),5.12 ± 0.18,836 (0.06‰),4.74 ± 0.17,909 (0.06‰),4.87 ± 0.16,,
NHL,"1,106 (0.08‰)",7.04 ± 0.21,995 (0.07‰),5.85 ± 0.19,"1,012 (0.07‰)",5.52 ± 0.18,,
Leukemia,"1,178 (0.08‰)",7.51 ± 0.22,"1,161 (0.08‰)",6.89 ± 0.20,"1,148 (0.08‰)",6.36 ± 0.19,,
County Economic Typology (Manufacturing),,,,,,,,
Cancer,"615,099 (2.09‰)",186.08 ± 0.24,"635,668 (2.12‰)",174.53 ± 0.22,"648,326 (2.13‰)",161.95 ± 0.20,,
Colorectal,"57,229 (0.19‰)",17.32 ± 0.07,"56,509 (0.19‰)",15.60 ± 0.07,"56,106 (0.18‰)",14.25 ± 0.06,,
Liver,"16,885 (0.06‰)",5.04 ± 0.04,"22,306 (0.07‰)",5.96 ± 0.04,"26,593 (0.09‰)",6.46 ± 0.04,,
Pancreatic,"37,006 (0.13‰)",11.13 ± 0.06,"41,233 (0.14‰)",11.22 ± 0.06,"47,020 (0.15‰)",11.61 ± 0.05,,
Lung,"184,470 (0.63‰)",55.58 ± 0.13,"184,061 (0.61‰)",50.00 ± 0.12,"171,313 (0.56‰)",41.85 ± 0.10,,
Breast,"42,573 (0.14‰)",12.87 ± 0.06,"42,276 (0.14‰)",11.71 ± 0.06,"42,688 (0.14‰)",10.98 ± 0.05,,
Ovarian,"15,235 (0.05‰)",4.60 ± 0.04,"14,713 (0.05‰)",4.05 ± 0.03,"13,636 (0.04‰)",3.42 ± 0.03,,
Prostate,"29,327 (0.10‰)",8.95 ± 0.05,"28,292 (0.09‰)",7.81 ± 0.05,"31,312 (0.10‰)",7.78 ± 0.04,,
Kidney,"14,202 (0.05‰)",4.26 ± 0.04,"15,196 (0.05‰)",4.14 ± 0.03,"15,524 (0.05‰)",3.87 ± 0.03,,
NHL,"22,361 (0.08‰)",6.84 ± 0.05,"22,164 (0.07‰)",6.18 ± 0.04,"21,889 (0.07‰)",5.55 ± 0.04,,
Leukemia,"23,788 (0.08‰)",7.32 ± 0.05,"24,691 (0.08‰)",6.96 ± 0.04,"24,527 (0.08‰)",6.30 ± 0.04,,
County Economic Typology (Government),,,,,,,,
Cancer,"305,256 (1.73‰)",177.71 ± 0.32,"320,915 (1.73‰)",164.92 ± 0.30,"334,077 (1.74‰)",151.94 ± 0.27,,
Colorectal,"28,183 (0.16‰)",16.45 ± 0.10,"28,254 (0.15‰)",14.59 ± 0.09,"29,490 (0.15‰)",13.59 ± 0.08,,
