Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
ILD,3 (0.03‰),5.97 ± 3.78,3 (0.03‰),8.08 ± 4.84,3 (0.03‰),5.76 ± 3.42,3 (0.04‰),4.03 ± 2.34
Asthma,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00
Pneumoconiosis,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00,1 (0.01‰),2.40 ± 2.40
County Economic Typology (Farming),,,,,,,,
CRD,"26,518 (1.28‰)",105.53 ± 0.65,"27,439 (1.30‰)",102.47 ± 0.62,"27,142 (1.28‰)",94.61 ± 0.58,"20,321 (1.19‰)",99.69 ± 0.74
Lung cancer,"11,804 (0.57‰)",47.42 ± 0.44,"11,375 (0.54‰)",42.75 ± 0.40,"10,451 (0.49‰)",36.47 ± 0.36,"7,552 (0.44‰)",38.15 ± 0.47
COPD,"11,770 (0.57‰)",46.53 ± 0.43,"12,663 (0.60‰)",47.07 ± 0.42,"13,417 (0.63‰)",46.61 ± 0.41,"9,994 (0.59‰)",47.94 ± 0.50
ILD,"1,220 (0.06‰)",4.85 ± 0.14,"1,416 (0.07‰)",5.31 ± 0.14,"1,441 (0.07‰)",5.05 ± 0.13,"1,280 (0.07‰)",6.15 ± 0.18
Asthma,277 (0.01‰),1.13 ± 0.07,249 (0.01‰),0.98 ± 0.06,229 (0.01‰),0.89 ± 0.06,182 (0.01‰),1.06 ± 0.08
Pneumoconiosis,37 (0.00‰),0.14 ± 0.02,40 (0.00‰),0.15 ± 0.02,37 (0.00‰),0.14 ± 0.02,15 (0.00‰),0.07 ± 0.02
County Economic Typology (Mining),,,,,,,,
CRD,"21,314 (1.46‰)",133.93 ± 0.92,"22,363 (1.50‰)",129.86 ± 0.88,"22,242 (1.51‰)",118.43 ± 0.81,"16,968 (1.47‰)",127.01 ± 1.03
