Time_Period,ICD-10 Code,Outcome_Fullname,Outcome_Shortname,Stratification,Strata,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,I20_I25,I20_I25,IHD,County Economic Typology,National,2001861,1519222141,124.7241,0.0885,124.5514,124.897,124.72 ± 0.09
2006-2010,I50,I50,HF,County Economic Typology,Farming,6166,20793230,23.4389,0.2999,22.8575,24.0314,23.44 ± 0.30
2006-2010,I50,I50,HF,County Economic Typology,Mining,4323,14617184,28.6391,0.4371,27.7917,29.5058,28.64 ± 0.44
2006-2010,I50,I50,HF,County Economic Typology,Manufacturing,70710,294175065,21.3101,0.0804,21.1533,21.4677,21.31 ± 0.08
2006-2010,I50,I50,HF,County Economic Typology,Government,31990,176788820,19.4106,0.1089,19.1984,19.6244,19.41 ± 0.11
2006-2010,I50,I50,HF,County Economic Typology,Services,102446,650908678,14.4151,0.0452,14.327,14.5036,14.42 ± 0.05
2006-2010,I50,I50,HF,County Economic Typology,Nonspecialized,72143,361939164,20.2559,0.0756,20.1084,20.4043,20.26 ± 0.08
2006-2010,I50,I50,HF,County Economic Typology,National,287778,1519222141,17.9445,0.0335,17.879,18.0102,17.94 ± 0.03
2006-2010,I60_I69,I60_I69,Stroke,County Economic Typology,Farming,11787,20793230,45.878,0.4251,45.0535,46.7139,45.88 ± 0.43
2006-2010,I60_I69,I60_I69,Stroke,County Economic Typology,Mining,7099,14617184,46.5562,0.5552,45.4795,47.6521,46.56 ± 0.56
2006-2010,I60_I69,I60_I69,Stroke,County Economic Typology,Manufacturing,150181,294175065,45.6469,0.1182,45.4163,45.8783,45.65 ± 0.12
2006-2010,I60_I69,I60_I69,Stroke,County Economic Typology,Government,73820,176788820,44.4962,0.1645,44.1758,44.8183,44.50 ± 0.16
2006-2010,I60_I69,I60_I69,Stroke,County Economic Typology,Services,262041,650908678,37.3941,0.0734,37.2511,37.5376,37.39 ± 0.07
2006-2010,I60_I69,I60_I69,Stroke,County Economic Typology,Nonspecialized,160128,361939164,44.8938,0.1126,44.6742,45.1143,44.89 ± 0.11
2006-2010,I60_I69,I60_I69,Stroke,County Economic Typology,National,665056,1519222141,41.7426,0.0514,41.6423,41.843,41.74 ± 0.05
2006-2010,X60_X69,X60_X69,NVS,County Economic Typology,Farming,260,20793230,1.2822,0.081,1.131,1.4479,1.28 ± 0.08
2006-2010,X60_X69,X60_X69,NVS,County Economic Typology,Mining,261,14617184,1.7686,0.1113,1.5605,1.9967,1.77 ± 0.11
2006-2010,X60_X69,X60_X69,NVS,County Economic Typology,Manufacturing,6226,294175065,2.0573,0.0264,2.0065,2.1091,2.06 ± 0.03
2006-2010,X60_X69,X60_X69,NVS,County Economic Typology,Government,3749,176788820,2.129,0.0352,2.0614,2.1982,2.13 ± 0.04
