Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
PD,"10,887 (0.06‰)",6.80 ± 0.07,"13,392 (0.07‰)",7.37 ± 0.06,"18,543 (0.10‰)",8.90 ± 0.07,"17,549 (0.11‰)",9.92 ± 0.08
ALS,"3,440 (0.02‰)",1.98 ± 0.03,"3,833 (0.02‰)",1.96 ± 0.03,"3,785 (0.02‰)",1.68 ± 0.03,"3,240 (0.02‰)",2.03 ± 0.04
HD,532 (0.00‰),0.29 ± 0.01,564 (0.00‰),0.29 ± 0.01,610 (0.00‰),0.29 ± 0.01,526 (0.00‰),0.37 ± 0.02
County Economic Typology (Services),,,,,,,,
NDD,"401,543 (0.62‰)",56.52 ± 0.09,"523,808 (0.77‰)",65.09 ± 0.09,"570,676 (0.81‰)",63.80 ± 0.09,"439,181 (0.78‰)",61.98 ± 0.09
Dementia,"343,691 (0.53‰)",48.12 ± 0.08,"453,434 (0.67‰)",55.92 ± 0.08,"481,947 (0.68‰)",53.54 ± 0.08,"358,800 (0.64‰)",50.38 ± 0.08
PD,"43,509 (0.07‰)",6.32 ± 0.03,"53,721 (0.08‰)",7.02 ± 0.03,"72,168 (0.10‰)",8.37 ± 0.03,"66,416 (0.12‰)",9.34 ± 0.04
ALS,"12,729 (0.02‰)",1.84 ± 0.02,"14,809 (0.02‰)",1.91 ± 0.02,"14,523 (0.02‰)",1.65 ± 0.01,"12,281 (0.02‰)",1.97 ± 0.02
HD,"1,614 (0.00‰)",0.23 ± 0.01,"1,844 (0.00‰)",0.24 ± 0.01,"2,038 (0.00‰)",0.25 ± 0.01,"1,684 (0.00‰)",0.30 ± 0.01
County Economic Typology (Nonspecialized),,,,,,,,
NDD,"227,755 (0.63‰)",64.57 ± 0.14,"300,362 (0.79‰)",75.29 ± 0.14,"335,641 (0.85‰)",75.37 ± 0.13,"267,398 (0.82‰)",74.25 ± 0.14
Dementia,"195,893 (0.54‰)",55.53 ± 0.13,"261,644 (0.69‰)",65.49 ± 0.13,"286,447 (0.73‰)",64.34 ± 0.12,"221,313 (0.68‰)",61.53 ± 0.13
PD,"23,280 (0.06‰)",6.72 ± 0.04,"28,970 (0.08‰)",7.47 ± 0.04,"39,501 (0.10‰)",8.97 ± 0.05,"37,680 (0.12‰)",10.20 ± 0.05
ALS,"7,486 (0.02‰)",2.03 ± 0.02,"8,483 (0.02‰)",2.03 ± 0.02,"8,273 (0.02‰)",1.74 ± 0.02,"7,289 (0.02‰)",2.15 ± 0.03
HD,"1,096 (0.00‰)",0.29 ± 0.01,"1,265 (0.00‰)",0.31 ± 0.01,"1,420 (0.00‰)",0.31 ± 0.01,"1,116 (0.00‰)",0.36 ± 0.01
County Economic Typology (Unclassified),,,,,,,,
NDD,,,5 (0.17‰),25.05 ± 11.71,24 (0.31‰),33.64 ± 7.04,22 (0.39‰),28.51 ± 6.25
Dementia,,,4 (0.13‰),22.70 ± 11.47,19 (0.25‰),27.26 ± 6.39,19 (0.34‰),25.27 ± 5.95
PD,,,1 (0.03‰),2.35 ± 2.35,4 (0.05‰),5.14 ± 2.68,2 (0.04‰),2.49 ± 1.76
HD,,,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00,0 (0.00‰),0.00 ± 0.00
ALS,,,0 (0.00‰),0.00 ± 0.00,1 (0.01‰),1.24 ± 1.24,1 (0.02‰),0.75 ± 0.75
EQI Quintile (Q1),,,,,,,,
NDD,"30,731 (0.57‰)",53.15 ± 0.30,"41,608 (0.75‰)",63.09 ± 0.31,"48,177 (0.86‰)",64.23 ± 0.29,"40,495 (0.92‰)",68.12 ± 0.34
Dementia,"26,774 (0.49‰)",46.48 ± 0.28,"36,501 (0.66‰)",55.41 ± 0.29,"41,187 (0.73‰)",54.88 ± 0.27,"33,954 (0.77‰)",56.89 ± 0.31
PD,"2,921 (0.05‰)",5.01 ± 0.09,"3,931 (0.07‰)",5.96 ± 0.10,"5,867 (0.10‰)",7.83 ± 0.10,"5,533 (0.13‰)",9.18 ± 0.12
ALS,913 (0.02‰),1.46 ± 0.05,"1,027 (0.02‰)",1.48 ± 0.05,967 (0.02‰),1.29 ± 0.04,857 (0.02‰),1.70 ± 0.06
HD,123 (0.00‰),0.20 ± 0.02,149 (0.00‰),0.23 ± 0.02,156 (0.00‰),0.24 ± 0.02,151 (0.00‰),0.35 ± 0.03
EQI Quintile (Q2),,,,,,,,
