COUNTY_FIPS,RUCC,EQI_Air,EQI_Water,EQI_Land,EQI_Built,EQI_Social,Cluster
08089,3,-1.1755,0.9603,0.9363,0.3331,-0.6621,2
08091,4,-2.1894,0.8836,1.6548,1.5733,1.1963,2
08093,1,-1.4654,0.8765,0.6087,0.253,0.9103,0
08095,4,-2.5316,0.9255,0.5192,0.3349,0.3398,2
08097,3,-1.6973,0.8943,1.0771,2.973,3.1267,2
08099,3,-1.2826,0.8938,0.6802,0.168,-0.6341,2
08101,1,-0.1849,0.9418,1.0611,0.4298,-0.0413,2
08103,4,-2.1569,-1.1901,0.1994,1.0822,0.4318,1
08105,3,-1.7039,0.6737,1.0448,0.2112,-0.3952,2
08107,3,-1.2144,0.6062,0.5171,1.5723,1.6981,2
08109,4,-2.2466,0.8499,1.0119,-1.23,-1.318,0
08111,4,-2.6806,-1.1892,1.6921,2.7865,-0.4765,1
08113,4,-1.7032,0.9498,0.2966,2.3519,1.2383,2
08115,4,-2.2039,-1.1124,0.3548,-0.3897,0.1165,1
08117,3,-1.552,0.8889,0.7415,2.381,1.2504,2
08119,1,-0.9438,0.9402,0.7524,0.5355,1.4018,2
08121,4,-1.9693,0.4762,0.4466,-0.4016,0.3871,2
08123,1,0.5193,0.8986,0.6801,0.0995,0.7191,2
08125,3,-2.3341,0.981,0.4585,0.8093,0.3336,2
09001,1,1.632,1.1313,0.851,1.3735,2.2213,2
09003,1,1.5705,1.1808,0.4908,1.193,0.9941,2
09005,2,1.0771,1.2827,0.7169,1.0913,1.8029,2
09007,1,1.2804,1.179,0.5334,1.0224,1.9211,2
09009,1,1.5968,1.1494,0.7756,1.0391,0.9825,2
09011,1,1.1238,1.1261,0.4718,1.0801,1.2923,2
09013,1,1.1187,1.2358,0.6027,0.2077,2.0483,2
09015,2,0.995,1.011,0.5633,0.5292,0.7319,2
10001,1,0.7781,0.6495,0.6306,0.9654,0.6396,2
10003,1,1.6805,0.9222,0.9995,1.0399,1.42,2
10005,2,0.5745,0.9529,0.2611,0.8879,0.3047,2
11001,1,1.7155,-1.5564,-0.4564,2.1397,-0.6777,1
12001,1,0.843,-1.5687,-1.675,1.1961,-0.3264,1
12003,1,-0.1094,-1.5456,-2.4838,-0.9136,0.3045,0
12005,1,0.717,-1.5612,-1.8005,0.5203,-0.0567,1
12007,3,0.091,-1.543,-1.9798,-0.9631,-0.0698,1
12009,1,0.7239,-1.5728,-1.6125,0.4173,0.6154,1
12011,1,1.1699,-1.5923,-1.1934,1.0351,0.2624,1
12013,3,-0.5349,-1.5515,-2.0994,-0.4528,-0.9976,0
12015,1,0.2676,-1.5527,-2.1339,0.7033,0.4445,1
12017,2,0.3218,-1.5505,-2.107,0.4707,-0.035,1
12019,1,0.8444,-1.5644,-2.0612,-0.0362,1.5872,1
12021,1,0.5398,-1.5664,-1.5089,0.9654,0.6816,1
12023,3,0.4069,-1.5482,-1.9278,-0.0024,-0.3569,1
12027,3,-0.147,-1.5418,-2.2481,-0.6773,-1.1911,0
12029,3,-0.8926,-1.5454,-2.0414,-0.9547,-1.4339,0
12031,1,1.3785,-1.6023,-1.4972,0.6642,0.4548,1
12033,1,1.0483,-1.5667,-1.5063,0.6457,0.0354,1
12035,2,0.3166,-1.5703,-0.5079,0.2257,1.0586,1
12037,3,-1.0126,-1.5603,-2.3713,0.4422,-0.8914,0
12039,1,0.0461,-1.5483,-1.8012,-0.5007,-0.3695,0
12041,1,-0.4263,-1.5437,-1.8951,-1.6779,-0.4039,0
12043,3,-1.0289,-1.5556,-1.6687,-1.5591,-1.5186,0
12045,3,-0.5051,-1.5616,-2.209,-1.0594,-0.7323,0
12047,3,-0.5446,-1.5467,-2.0703,-1.2851,-1.3359,0
12049,3,-0.269,-1.548,-2.5722,-0.4501,-1.7359,0
12051,2,-0.4074,-1.5518,-1.415,0.3408,-1.3416,0
12053,1,0.5382,-1.5821,-2.4138,0.6686,0.2913,1
12055,2,0.1232,-1.5577,-1.7348,0.5148,-0.6345,1
12057,1,1.3429,-1.5959,-1.7297,0.634,0.19,1
12059,3,-0.2391,-1.5512,-1.7252,-1.0615,-0.8831,0
12061,1,0.2693,-1.5704,-1.0616,0.7872,0.4541,1
12063,3,0.0118,-1.551,-1.0923,0.2225,-0.3262,1
12065,1,-0.5747,-1.5469,-1.3206,0.4263,-0.1352,0
12067,4,-0.7875,-1.544,-2.4312,-3.9927,-0.6141,0
12069,1,0.6821,-1.571,-0.9687,0.7616,0.3472,1
12071,1,0.5202,-1.5879,-2.1476,0.6532,0.3438,1
12073,1,0.7215,-1.5812,-1.2269,0.9716,0.0335,1
12075,4,-0.1633,-1.5438,-1.7599,-0.2826,-0.5047,1
