Cancer_Type,Period,Population,Deaths,RUCC1_CR,RUCC1_AAMR,RUCC2_CR,RUCC2_AAMR,RUCC3_CR,RUCC3_AAMR,RUCC4_CR,RUCC4_AAMR
C25,2016-2020,1604493930.0,220392,14.60 ± 0.13,10.85 ± 0.03,16.32 ± 0.23,11.13 ± 0.09,19.08 ± 0.23,11.58 ± 0.09,23.39 ± 1.00,12.03 ± 0.23
C30-C39,2006-2010,1516517780.0,815026,61.31 ± 0.59,47.10 ± 0.06,66.91 ± 1.11,53.86 ± 0.21,75.61 ± 0.68,54.95 ± 0.19,88.04 ± 1.17,54.78 ± 0.40
C30-C39,2011-2015,1578741069.0,802861,59.91 ± 0.61,40.17 ± 0.05,65.92 ± 1.11,48.28 ± 0.19,75.11 ± 0.68,50.07 ± 0.18,88.74 ± 1.26,51.21 ± 0.38
C30-C39,2016-2020,1630131090.0,736558,54.80 ± 0.58,32.19 ± 0.04,60.56 ± 1.02,40.21 ± 0.17,70.77 ± 0.69,42.10 ± 0.16,83.41 ± 1.26,43.70 ± 0.34
C34,2006-2010,1516356575.0,791195,59.61 ± 0.58,45.67 ± 0.06,65.01 ± 1.09,52.29 ± 0.21,73.75 ± 0.66,53.41 ± 0.19,85.81 ± 1.14,53.29 ± 0.40
C34,2011-2015,1578729784.0,778715,58.19 ± 0.59,39.00 ± 0.05,63.95 ± 1.09,46.77 ± 0.19,73.14 ± 0.67,48.64 ± 0.17,86.36 ± 1.25,49.83 ± 0.37
C34,2016-2020,1629844314.0,711241,53.02 ± 0.57,31.01 ± 0.04,58.61 ± 0.99,38.82 ± 0.16,68.65 ± 0.66,40.70 ± 0.15,80.95 ± 1.22,42.36 ± 0.34
C40-C41,2006-2010,834972513.0,3033,0.47 ± 0.03,nan ± 0.00,0.06 ± 0.02,1.00 ± 0.30,0.00 ± 0.00,N/A,0.00 ± 0.00,N/A
C40-C41,2011-2015,915117690.0,3587,0.51 ± 0.02,nan ± 0.00,0.10 ± 0.02,1.50 ± 0.28,0.00 ± 0.00,N/A,0.00 ± 0.00,N/A
C40-C41,2016-2020,1023436332.0,4727,0.54 ± 0.02,nan ± 0.00,0.11 ± 0.02,0.87 ± 0.19,0.00 ± 0.00,N/A,0.00 ± 0.00,N/A
