ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
"X60_X84_Y87.0","2011_2015",10,"AirSVI+UN+DB","0.00","5.07(4.28,5.88)","3.52(2.86,4.22)","5.16(4.44,5.91)","0.0002","1.0020",2205,3173,"0.0002","1.0022",2311,3248,"0.0002","1.0021",2088,3124,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.18(-0.26,-0.10)","0.0002","1.0005",2115,2926,"",NA,"NA",NA,NA,"-0.42(-0.60,-0.22)","0.0002","1.0017",1828,2443
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PD+DB","0.00","5.06(4.25,5.85)","4.26(3.58,4.94)","5.70(4.92,6.49)","0.0002","1.0016",2910,3667,"0.0002","1.0013",3458,3443,"0.0002","1.0027",2694,3343,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.00,-0.00)","0.0002","1.0004",5292,3393,"-0.62(-0.80,-0.44)","0.0002","1.0025",2443,3050
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA+OB","0.00","3.25(2.53,3.95)","3.94(3.27,4.57)","3.84(3.17,4.50)","0.0002","1.0001",2809,3506,"0.0002","1.0019",2908,3155,"0.0002","1.0012",2481,3385,"0.91(0.83,0.98)","0.0002","1.0018",3191,3368,"0.20(0.14,0.27)","0.0002","1.0015",2089,2782,"-0.36(-0.43,-0.28)","0.0002","0.9999",2592,3327,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA+UN","0.00","3.62(2.87,4.36)","3.80(3.13,4.45)","4.09(3.43,4.76)","0.0002","1.0014",2687,2892,"0.0002","1.0016",2376,3117,"0.0002","1.0019",2341,2757,"0.77(0.70,0.84)","0.0002","1.0003",2464,2911,"0.29(0.22,0.35)","0.0002","1.0016",1831,2580,"",NA,"NA",NA,NA,"-0.27(-0.35,-0.20)","0.0002","1.0015",2385,3097,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA+PD","0.00","3.07(2.31,3.82)","4.11(3.46,4.78)","3.78(3.09,4.49)","0.0002","1.0008",2097,3056,"0.0002","1.0009",2096,2931,"0.0002","1.0023",1963,2989,"0.77(0.69,0.84)","0.0002","1.0018",2529,3077,"0.31(0.25,0.38)","0.0002","1.0011",1748,2349,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.0927","1.0012",4423,3501,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA+DB","0.00","4.10(3.36,4.89)","4.62(3.97,5.28)","4.88(4.19,5.58)","0.0002","1.0006",2847,3293,"0.0002","1.0015",2540,3145,"0.0002","1.0005",2414,3099,"0.78(0.71,0.85)","0.0002","1.0021",3429,3421,"0.21(0.14,0.28)","0.0002","1.0029",1961,2024,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.75(-0.94,-0.55)","0.0002","1.0023",2736,3108
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+OB+UN","0.00","3.33(2.62,4.04)","3.64(2.99,4.29)","3.83(3.16,4.46)","0.0002","1.0007",2576,3105,"0.0002","1.0017",2273,2902,"0.0002","1.0017",2132,2619,"0.89(0.81,0.97)","0.0002","1.0004",2798,3389,"",NA,"NA",NA,NA,"-0.43(-0.49,-0.36)","0.0002","1.0005",2185,2904,"-0.30(-0.38,-0.23)","0.0002","1.0013",2027,2670,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+OB+PD","0.00","2.73(2.01,3.45)","4.17(3.51,4.83)","3.67(2.99,4.35)","0.0002","1.0018",3199,3664,"0.0002","1.0018",3271,3307,"0.0002","1.0016",2911,3327,"0.86(0.79,0.94)","0.0002","1.0012",4024,3612,"",NA,"NA",NA,NA,"-0.45(-0.53,-0.38)","0.0002","1.0001",2748,3141,"",NA,"NA",NA,NA,"-0.00(-0.00,0.00)","0.8934","1.0001",4193,3791,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+OB+DB","0.00","3.41(2.62,4.18)","4.46(3.84,5.11)","4.32(3.59,5.05)","0.0002","1.0000",3140,3542,"0.0002","1.0020",3288,3565,"0.0002","1.0009",2899,3564,"0.85(0.77,0.92)","0.0002","1.0009",3682,3497,"",NA,"NA",NA,NA,"-0.32(-0.41,-0.23)","0.0002","1.0002",2535,2952,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.48(-0.71,-0.25)","0.0002","0.9998",2635,2868
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+UN+PD","0.00","2.65(1.91,3.40)","3.93(3.27,4.61)","3.47(2.76,4.16)","0.0002","1.0032",1854,3060,"0.0002","1.0031",2191,3245,"0.0002","1.0033",1798,2889,"0.68(0.61,0.75)","0.0002","1.0017",1727,2113,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.33(-0.40,-0.25)","0.0002","1.0026",1853,2617,"0.00(0.00,0.00)","0.0010","1.0012",4041,3845,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+UN+DB","0.00","4.26(3.50,5.05)","4.53(3.88,5.19)","5.07(4.37,5.75)","0.0002","1.0027",2120,2600,"0.0002","1.0028",2063,2532,"0.0002","1.0031",1988,2701,"0.73(0.67,0.81)","0.0002","1.0014",2489,3131,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.26(-0.34,-0.19)","0.0002","1.0024",2004,2780,"",NA,"NA",NA,NA,"-0.93(-1.12,-0.74)","0.0002","1.0028",1816,2762
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PD+DB","0.00","3.80(2.99,4.57)","4.87(4.23,5.51)","4.83(4.10,5.56)","0.0002","1.0010",1941,2793,"0.0002","1.0021",2146,3064,"0.0002","1.0024",1783,2881,"0.73(0.66,0.80)","0.0002","1.0010",2027,2264,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.0510","1.0006",3006,3380,"-1.01(-1.20,-0.83)","0.0002","1.0050",1657,2721
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PA+OB+UN","0.00","4.54(3.79,5.31)","3.39(2.72,4.08)","4.66(4.00,5.33)","0.0002","1.0019",2966,3371,"0.0002","1.0014",3047,3382,"0.0002","1.0025",2563,3302,"",NA,"NA",NA,NA,"0.03(-0.04,0.10)","0.3414","1.0005",2357,2840,"0.01(-0.06,0.08)","0.8763","1.0010",2837,3266,"-0.21(-0.30,-0.13)","0.0002","1.0010",2600,3100,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PA+OB+PD","0.00","4.42(3.64,5.20)","3.92(3.25,4.61)","4.96(4.22,5.69)","0.0002","1.0002",3016,3440,"0.0002","1.0009",3206,3545,"0.0002","1.0000",2745,3262,"",NA,"NA",NA,NA,"0.08(0.02,0.15)","0.0144","1.0032",2268,2836,"-0.05(-0.12,0.03)","0.2302","1.0020",2334,2695,"",NA,"NA",NA,NA,"-0.00(-0.00,-0.00)","0.0010","1.0007",5076,4340,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PA+OB+DB","0.00","5.01(4.21,5.82)","4.28(3.59,5.01)","5.56(4.82,6.33)","0.0002","1.0025",3024,3297,"0.0002","1.0024",3053,3427,"0.0002","1.0040",2940,3369,"",NA,"NA",NA,NA,"-0.00(-0.07,0.07)","0.9967","1.0009",2880,2912,"0.16(0.07,0.25)","0.0010","1.0022",2585,3449,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.85(-1.10,-0.60)","0.0002","1.0004",2959,3665
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PA+UN+PD","0.00","4.74(3.95,5.51)","3.61(2.92,4.30)","5.05(4.32,5.78)","0.0002","1.0022",2113,3245,"0.0002","1.0014",2364,2832,"0.0002","1.0025",1948,2818,"",NA,"NA",NA,NA,"0.07(0.00,0.13)","0.0373","1.0034",1451,2273,"",NA,"NA",NA,NA,"-0.22(-0.30,-0.14)","0.0002","1.0016",1942,2857,"-0.00(-0.00,-0.00)","0.0002","1.0010",3942,3255,"",NA,"NA",NA,NA
