Model,ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
EQI_Water,C25,Pancreatic Cancer,2000_2005,15,0.0,"-0.53(-1.05,0.03)","0.21(-0.35,0.80)","0.55(-0.02,1.13)","0.55(-0.03,1.17)"
EQI_Water,C61,Prostate Cancer,2000_2005,5,0.0,"-0.50(-1.09,0.08)","0.09(-0.51,0.70)","0.61(0.03,1.22)*","0.51(-0.12,1.14)"
EQI_Water,C61,Prostate Cancer,2000_2005,10,0.0,"-0.36(-0.83,0.13)","0.17(-0.33,0.70)","0.64(0.14,1.15)**","0.43(-0.09,0.95)"
EQI_Water,C61,Prostate Cancer,2000_2005,15,0.0,"-0.28(-0.78,0.21)","0.09(-0.41,0.60)","0.39(-0.11,0.91)","0.42(-0.10,0.96)"
EQI_Water,C00_C97,All-site Cancer,2006_2010,5,0.0,"-1.46(-3.94,1.06)","-1.82(-4.44,0.87)","-0.46(-3.05,2.12)","0.79(-2.04,3.62)"
EQI_Water,C00_C97,All-site Cancer,2006_2010,10,0.0,"-1.06(-3.35,1.39)","-1.34(-3.75,1.08)","-1.33(-3.73,1.08)","0.03(-2.62,2.61)"
EQI_Water,C34,Lung Cancer,2006_2010,5,0.0,"-3.19(-4.66,-1.71)***","-1.25(-2.81,0.29)","-0.75(-2.30,0.77)","-0.25(-1.89,1.36)"
EQI_Water,C34,Lung Cancer,2006_2010,10,0.0,"-2.14(-3.38,-0.87)***","0.14(-1.14,1.45)","0.06(-1.22,1.36)","1.38(0.01,2.69)*"
EQI_Water,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"-1.93(-2.62,-1.24)***","-0.76(-1.48,-0.02)*","-0.17(-0.92,0.56)","0.33(-0.48,1.10)"
EQI_Water,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"-1.79(-2.50,-1.12)***","-0.26(-1.01,0.43)","-0.30(-1.01,0.41)","-0.02(-0.73,0.69)"
EQI_Water,C50,Breast Cancer,2006_2010,5,0.0,"-1.25(-1.80,-0.67)***","-0.49(-1.09,0.10)","0.09(-0.50,0.69)","0.26(-0.35,0.89)"
EQI_Water,C50,Breast Cancer,2006_2010,10,0.0,"-1.50(-2.03,-0.96)***","-0.35(-0.91,0.21)","-0.12(-0.69,0.46)","-0.06(-0.66,0.53)"
EQI_Water,C25,Pancreatic Cancer,2006_2010,5,0.0,"-1.74(-2.27,-1.20)***","-0.43(-1.01,0.13)","-0.09(-0.67,0.46)","0.23(-0.35,0.81)"
EQI_Water,C25,Pancreatic Cancer,2006_2010,10,0.0,"-0.91(-1.44,-0.40)***","0.12(-0.45,0.65)","0.31(-0.24,0.87)","0.77(0.18,1.35)*"
EQI_Water,C61,Prostate Cancer,2006_2010,5,0.0,"-1.19(-1.65,-0.74)***","-0.35(-0.82,0.14)","0.01(-0.46,0.50)","0.16(-0.33,0.68)"
EQI_Water,C61,Prostate Cancer,2006_2010,10,0.0,"-0.58(-1.03,-0.12)*","-0.00(-0.46,0.47)","0.42(-0.04,0.90)","0.17(-0.34,0.68)"
EQI_Land,C00_C97,All-site Cancer,2000_2005,5,0.0,"0.49(-1.54,2.57)","1.89(-0.27,4.04)","0.59(-1.91,3.12)","1.38(-1.38,4.05)"
EQI_Land,C00_C97,All-site Cancer,2000_2005,10,0.0,"1.29(-0.75,3.46)","1.19(-1.03,3.40)","1.86(-0.72,4.41)","2.12(-0.58,4.90)"
EQI_Land,C00_C97,All-site Cancer,2000_2005,15,0.0,"1.53(-0.43,3.52)","0.72(-1.41,2.92)","0.82(-1.56,3.17)","2.83(0.34,5.38)*"
EQI_Land,C34,Lung Cancer,2000_2005,5,0.0,"-1.14(-2.48,0.16)","-0.87(-2.31,0.54)","-1.54(-3.14,0.11)","-1.68(-3.40,0.01)"
EQI_Land,C34,Lung Cancer,2000_2005,10,0.0,"-0.85(-2.02,0.29)","-0.88(-2.16,0.32)","-0.79(-2.20,0.65)","-0.45(-1.98,1.10)"
EQI_Land,C34,Lung Cancer,2000_2005,15,0.0,"-0.83(-1.80,0.16)","-0.64(-1.67,0.44)","-0.55(-1.75,0.66)","0.21(-1.00,1.46)"
EQI_Land,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"0.35(-0.24,0.93)","0.48(-0.12,1.09)","0.47(-0.19,1.17)","1.23(0.51,1.97)***"
EQI_Land,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"0.22(-0.32,0.76)","0.23(-0.34,0.81)","0.42(-0.21,1.06)","1.17(0.51,1.84)***"
EQI_Land,C18_C21,Colorectal Cancer,2000_2005,15,0.0,"0.06(-0.49,0.59)","0.26(-0.32,0.83)","0.42(-0.19,1.06)","1.18(0.50,1.86)***"
EQI_Land,C50,Breast Cancer,2000_2005,5,0.0,"-0.05(-0.51,0.40)","-0.07(-0.56,0.43)","-0.15(-0.70,0.41)","0.12(-0.46,0.71)"
EQI_Land,C50,Breast Cancer,2000_2005,10,0.0,"0.21(-0.22,0.64)","0.07(-0.40,0.52)","0.05(-0.46,0.57)","0.40(-0.14,0.96)"
EQI_Land,C50,Breast Cancer,2000_2005,15,0.0,"0.20(-0.21,0.61)","-0.08(-0.51,0.37)","-0.29(-0.77,0.20)","0.56(0.06,1.09)*"
