Model,ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
EQI_Built,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"0.51(-0.19,1.20)","0.87(0.17,1.55)*","0.86(0.17,1.58)*","0.61(-0.12,1.32)"
EQI_Built,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"0.97(0.31,1.65)**","1.07(0.39,1.76)**","1.25(0.59,1.92)***","1.26(0.55,2.00)***"
EQI_Built,C50,Breast Cancer,2000_2005,5,0.0,"0.60(0.02,1.17)*","0.84(0.25,1.44)**","1.11(0.52,1.70)***","1.22(0.61,1.85)***"
EQI_Built,C50,Breast Cancer,2000_2005,10,0.0,"0.41(-0.14,0.95)","0.67(0.10,1.22)*","1.06(0.48,1.63)***","1.13(0.52,1.73)***"
EQI_Built,C61,Prostate Cancer,2000_2005,5,0.0,"0.81(0.27,1.34)**","0.75(0.19,1.30)**","0.73(0.19,1.29)*","0.59(0.02,1.17)*"
EQI_Built,C61,Prostate Cancer,2000_2005,10,0.0,"0.78(0.29,1.27)**","0.86(0.35,1.36)**","0.73(0.22,1.23)**","0.77(0.23,1.31)**"
EQI_Built,C15_C26,Digestive System Cancer,2000_2005,5,0.0,"0.58(-0.52,1.65)","1.20(0.15,2.24)*","1.49(0.44,2.57)**","1.92(0.82,3.03)***"
EQI_Built,C15_C26,Digestive System Cancer,2000_2005,10,0.0,"2.90(1.87,3.86)***","3.42(2.44,4.39)***","3.53(2.53,4.50)***","4.00(3.01,5.03)***"
EQI_Built,C00_C97,All-site Cancer,2006_2010,5,0.0,"1.94(-0.45,4.21)","1.67(-0.54,3.97)","-0.34(-2.67,2.09)","-2.63(-4.97,-0.27)*"
EQI_Built,C00_C97,All-site Cancer,2006_2010,10,0.0,"2.45(0.45,4.44)*","1.38(-0.71,3.50)","0.47(-1.70,2.76)","-2.11(-4.36,0.07)"
EQI_Built,C34,Lung Cancer,2006_2010,5,0.0,"-0.22(-1.43,0.97)","-0.15(-1.38,1.11)","0.16(-1.10,1.41)","-0.60(-1.87,0.67)"
EQI_Built,C34,Lung Cancer,2006_2010,10,0.0,"0.34(-0.72,1.35)","0.57(-0.54,1.63)","0.84(-0.26,1.91)","0.44(-0.69,1.51)"
EQI_Built,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"-0.22(-0.86,0.44)","-0.67(-1.34,-0.02)*","-0.86(-1.52,-0.18)*","-1.47(-2.16,-0.78)***"
EQI_Built,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"-0.11(-0.76,0.53)","-0.29(-0.95,0.37)","-0.52(-1.18,0.14)","-0.69(-1.39,-0.01)*"
EQI_Built,C50,Breast Cancer,2006_2010,5,0.0,"0.22(-0.35,0.78)","0.17(-0.41,0.75)","-0.29(-0.88,0.29)","-0.62(-1.21,-0.03)*"
EQI_Built,C50,Breast Cancer,2006_2010,10,0.0,"0.67(0.10,1.25)*","0.09(-0.49,0.67)","-0.29(-0.88,0.30)","-0.32(-0.94,0.29)"
EQI_Built,C61,Prostate Cancer,2006_2010,5,0.0,"-0.53(-1.04,-0.02)*","-0.71(-1.21,-0.19)*","-0.93(-1.43,-0.41)***","-1.33(-1.87,-0.79)***"
EQI_Built,C61,Prostate Cancer,2006_2010,10,0.0,"-0.30(-0.81,0.18)","-0.37(-0.89,0.14)","-0.79(-1.33,-0.26)**","-1.01(-1.54,-0.50)***"
EQI_Built,C15_C26,Digestive System Cancer,2006_2010,5,0.0,"-0.83(-1.81,0.17)","-1.32(-2.38,-0.31)*","-2.18(-3.24,-1.08)***","-3.18(-4.25,-2.10)***"
EQI_Built,C15_C26,Digestive System Cancer,2006_2010,10,0.0,"0.65(-0.37,1.65)","0.47(-0.55,1.52)","0.00(-1.06,1.00)","-0.80(-1.89,0.25)"
EQI_Social,C00_C97,All-site Cancer,2000_2005,5,0.0,"-2.32(-4.24,-0.45)*","-5.68(-7.92,-3.54)***","-4.14(-6.43,-1.86)***","-1.49(-4.08,1.01)"
EQI_Social,C00_C97,All-site Cancer,2000_2005,10,0.0,"-1.43(-3.42,0.50)","-4.07(-6.16,-2.07)***","-5.21(-7.44,-3.03)***","-3.40(-5.81,-0.93)**"
EQI_Social,C34,Lung Cancer,2000_2005,5,0.0,"-0.28(-1.48,0.94)","-1.32(-2.60,-0.03)*","-0.70(-2.05,0.64)","-0.04(-1.49,1.44)"
EQI_Social,C34,Lung Cancer,2000_2005,10,0.0,"0.99(-0.18,2.14)","-0.38(-1.55,0.81)","-0.40(-1.61,0.85)","-0.15(-1.56,1.20)"
EQI_Social,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"0.08(-0.57,0.71)","-1.06(-1.74,-0.38)**","-1.29(-2.02,-0.59)***","-1.45(-2.24,-0.69)***"
EQI_Social,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"-1.25(-1.90,-0.60)***","-1.71(-2.35,-1.05)***","-1.89(-2.57,-1.17)***","-1.99(-2.74,-1.24)***"
EQI_Social,C50,Breast Cancer,2000_2005,5,0.0,"-0.15(-0.71,0.44)","-0.67(-1.25,-0.09)*","-0.55(-1.18,0.10)","-0.39(-1.09,0.32)"
EQI_Social,C50,Breast Cancer,2000_2005,10,0.0,"-0.56(-1.09,-0.01)*","-0.46(-1.04,0.10)","-0.62(-1.22,-0.03)*","-0.68(-1.34,-0.00)*"
EQI_Social,C61,Prostate Cancer,2000_2005,5,0.0,"-0.36(-0.87,0.16)","-0.76(-1.28,-0.24)**","-0.55(-1.13,0.02)","-1.03(-1.66,-0.41)**"
EQI_Social,C61,Prostate Cancer,2000_2005,10,0.0,"-0.01(-0.50,0.48)","-0.79(-1.28,-0.29)***","-0.53(-1.08,-0.00)*","-0.98(-1.58,-0.39)**"
EQI_Social,C15_C26,Digestive System Cancer,2000_2005,5,0.0,"-1.55(-2.59,-0.53)**","-2.98(-4.00,-1.96)***","-3.12(-4.17,-2.04)***","-3.02(-4.21,-1.85)***"
EQI_Social,C15_C26,Digestive System Cancer,2000_2005,10,0.0,"-3.11(-4.06,-2.15)***","-4.23(-5.21,-3.25)***","-4.77(-5.82,-3.78)***","-4.96(-6.11,-3.86)***"
EQI_Social,C00_C97,All-site Cancer,2006_2010,5,0.0,"-3.35(-5.13,-1.50)**","-3.46(-5.46,-1.34)***","-3.90(-5.95,-1.65)***","-4.40(-7.04,-1.75)***"
EQI_Social,C00_C97,All-site Cancer,2006_2010,10,0.0,"-1.95(-3.70,-0.22)*","-0.85(-2.72,0.97)","0.72(-1.30,2.86)","-0.23(-2.64,2.18)"
EQI_Social,C34,Lung Cancer,2006_2010,5,0.0,"-0.42(-1.46,0.65)","-0.71(-1.88,0.46)","-1.04(-2.37,0.30)","-2.05(-3.47,-0.58)**"
EQI_Social,C34,Lung Cancer,2006_2010,10,0.0,"0.24(-0.62,1.07)","0.78(-0.22,1.79)","0.86(-0.28,1.96)","0.41(-0.81,1.59)"
EQI_Social,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"0.24(-0.30,0.76)","0.72(0.11,1.34)*","0.75(0.08,1.42)*","1.05(0.31,1.80)**"
EQI_Social,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"0.52(-0.04,1.05)","1.40(0.76,2.02)***","2.02(1.34,2.76)***","1.66(0.92,2.40)***"
