Model	Lag	Q1	Q2	Q3	Q4	Q5
EQI	15	0.0	0.06(-5.53,5.74)	3.21(-1.91,8.35)	3.64(-1.53,8.76)	11.89(6.53,17.34)
Air	5	0.0	-1.73(-7.69,4.17)	0.71(-4.69,6.03)	7.14(2.14,12.22)	4.72(-0.70,10.47)
Air	10	0.0	-1.44(-7.42,4.75)	-0.06(-5.49,5.37)	8.49(2.98,13.75)	9.06(3.32,14.74)
Air	15	0.0	1.39(-4.63,7.60)	-0.94(-6.60,4.35)	6.24(0.80,11.57)	8.28(2.29,13.87)
Water	5	0.0	3.33(-2.07,8.68)	3.50(-1.36,8.35)	2.43(-2.30,6.97)	5.00(0.52,9.62)
Water	10	0.0	0.86(-5.01,6.72)	4.22(-1.07,9.44)	3.16(-1.93,7.89)	7.47(2.49,12.45)
Water	15	0.0	2.72(-3.51,8.76)	2.73(-2.51,8.08)	3.35(-1.80,8.30)	6.36(1.22,11.52)
Land	5	0.0	2.66(-1.71,7.29)	3.73(-0.83,8.21)	1.13(-3.40,5.57)	2.26(-2.74,7.12)
Land	10	0.0	2.39(-2.05,6.86)	2.76(-1.93,7.41)	0.82(-3.72,5.27)	0.48(-4.60,5.54)
Land	15	0.0	0.23(-4.08,4.64)	1.47(-2.94,5.97)	2.02(-2.60,6.68)	2.36(-2.79,7.65)
Built	5	0.0	0.46(-5.80,6.70)	4.36(-0.92,9.73)	4.77(-0.50,9.83)	4.30(-0.96,9.61)
Built	10	0.0	-0.69(-6.88,5.45)	5.24(-0.10,10.71)	4.17(-1.08,9.37)	5.90(0.71,11.30)
Built	15	0.0	0.06(-6.44,6.19)	5.88(0.36,11.28)	3.94(-1.26,9.01)	6.07(0.65,11.36)
Social	5	0.0	3.76(-0.77,8.44)	4.37(-0.38,8.97)	4.18(-0.34,8.77)	5.94(0.92,10.99)
Social	10	0.0	0.28(-4.21,4.74)	2.78(-1.86,7.56)	3.08(-1.69,7.79)	6.22(0.91,11.27)
Social	15	0.0	-0.25(-4.74,4.38)	3.41(-1.21,8.13)	2.15(-2.49,6.73)	5.56(0.35,10.74)
RUCC: Less urbanized
EQI	5	0.0	5.93(3.00,8.84)	7.44(4.41,10.49)	10.47(7.17,13.79)	12.03(7.65,16.40)
EQI	10	0.0	7.50(4.36,10.50)	7.63(4.35,10.92)	10.67(7.24,14.04)	13.30(8.67,17.80)
EQI	15	0.0	6.05(2.94,9.33)	5.71(2.39,9.11)	10.45(6.71,14.09)	11.78(7.11,16.46)
Air	5	0.0	2.27(-0.66,5.23)	3.36(0.25,6.44)	8.63(5.18,12.10)	6.48(0.58,12.37)
Air	10	0.0	3.74(0.60,6.77)	7.17(3.72,10.54)	10.95(7.08,14.79)	9.20(3.02,15.02)
Air	15	0.0	4.27(1.17,7.43)	6.83(3.44,10.32)	9.82(6.02,13.69)	8.84(2.86,15.11)
Water	5	0.0	0.62(-3.01,4.42)	2.03(-1.55,5.63)	5.17(1.71,8.76)	2.72(-0.98,6.39)
Water	10	0.0	2.69(-1.32,6.60)	3.05(-0.81,6.77)	4.41(0.51,8.18)	2.64(-1.48,6.60)
Water	15	0.0	3.16(-0.92,7.35)	2.94(-1.18,7.14)	3.04(-1.03,7.20)	2.84(-1.42,7.37)
Land	5	0.0	-0.51(-3.30,2.51)	-0.44(-3.39,2.64)	0.27(-3.19,3.61)	0.06(-3.68,3.78)
Land	10	0.0	-1.23(-4.28,1.81)	0.62(-2.64,3.87)	-1.11(-4.66,2.57)	-0.44(-4.40,3.71)
Land	15	0.0	0.74(-2.39,3.88)	2.00(-1.25,5.25)	2.98(-0.63,6.75)	2.03(-2.10,6.34)
Built	5	0.0	3.78(0.67,6.81)	4.77(1.67,7.84)	5.53(2.17,8.74)	5.17(1.61,8.62)
Built	10	0.0	3.78(0.53,6.99)	4.68(1.47,7.86)	5.65(2.12,9.15)	3.94(0.21,7.58)
Built	15	0.0	4.41(1.09,7.85)	4.92(1.60,8.21)	6.35(2.95,9.85)	2.30(-1.35,5.96)
Social	5	0.0	4.62(2.06,7.25)	4.83(1.83,7.88)	4.06(0.81,7.39)	5.06(0.90,9.24)
