Outcome,5 Deaths,5 AAMR,10 Deaths,10 AAMR,15 Deaths,15 AAMR
I10_I15,"297,429 (0.20‰)",18.53 ± 0.03,"354,479 (0.23‰)",19.72 ± 0.03,"487,458 (0.30‰)",24.54 ± 0.04
DOE Climate Zone: Hot,,,,,,
All-site Cancer,"407,023 (1.83‰)",168.87 ± 0.27,"434,864 (1.82‰)",156.27 ± 0.24,"459,264 (1.79‰)",141.89 ± 0.21
I00-I99,"562,273 (2.52‰)",235.91 ± 0.32,"584,764 (2.44‰)",210.09 ± 0.28,"676,046 (2.63‰)",209.21 ± 0.26
I20_I25,"287,895 (1.29‰)",120.41 ± 0.22,"277,829 (1.16‰)",99.39 ± 0.19,"291,101 (1.13‰)",89.54 ± 0.17
Lung Cancer,"114,911 (0.52‰)",47.39 ± 0.14,"115,401 (0.48‰)",41.04 ± 0.12,"107,702 (0.42‰)",32.61 ± 0.10
I60_I69,"93,321 (0.42‰)",39.29 ± 0.13,"98,149 (0.41‰)",35.38 ± 0.11,"127,318 (0.50‰)",39.35 ± 0.11
I10_I15,"43,404 (0.19‰)",18.20 ± 0.09,"53,391 (0.22‰)",19.25 ± 0.08,"76,470 (0.30‰)",23.90 ± 0.09
DOE Climate Zone: Warm,,,,,,
All-site Cancer,"668,606 (1.67‰)",174.64 ± 0.22,"705,584 (1.68‰)",161.46 ± 0.19,"734,656 (1.69‰)",148.37 ± 0.18
I00-I99,"990,985 (2.48‰)",265.54 ± 0.27,"1,002,181 (2.39‰)",234.25 ± 0.24,"1,106,759 (2.54‰)",228.51 ± 0.22
I20_I25,"466,797 (1.17‰)",124.70 ± 0.18,"437,278 (1.04‰)",101.59 ± 0.16,"438,943 (1.01‰)",89.76 ± 0.14
Lung Cancer,"184,138 (0.46‰)",48.13 ± 0.11,"181,739 (0.43‰)",41.42 ± 0.10,"167,826 (0.38‰)",33.44 ± 0.08
I60_I69,"172,940 (0.43‰)",46.82 ± 0.11,"171,680 (0.41‰)",40.62 ± 0.10,"198,787 (0.46‰)",41.46 ± 0.09
I10_I15,"88,711 (0.22‰)",23.51 ± 0.08,"108,389 (0.26‰)",25.09 ± 0.08,"151,650 (0.35‰)",31.22 ± 0.08
DOE Climate Zone: Mixed,,,,,,
All-site Cancer,"724,351 (1.94‰)",180.22 ± 0.21,"744,427 (1.92‰)",166.63 ± 0.20,"752,863 (1.89‰)",151.35 ± 0.18
I00-I99,"1,030,678 (2.75‰)",257.33 ± 0.25,"1,011,650 (2.60‰)",226.83 ± 0.23,"1,097,010 (2.75‰)",222.05 ± 0.21
I20_I25,"543,842 (1.45‰)",135.48 ± 0.18,"485,969 (1.25‰)",108.55 ± 0.16,"488,019 (1.22‰)",98.17 ± 0.14
Lung Cancer,"209,274 (0.56‰)",52.04 ± 0.11,"204,782 (0.53‰)",45.57 ± 0.10,"184,971 (0.46‰)",36.58 ± 0.09
I60_I69,"162,349 (0.43‰)",40.77 ± 0.10,"161,930 (0.42‰)",36.61 ± 0.09,"178,156 (0.45‰)",36.23 ± 0.09
I10_I15,"72,754 (0.19‰)",18.04 ± 0.07,"85,353 (0.22‰)",19.04 ± 0.07,"117,987 (0.30‰)",23.92 ± 0.07
DOE Climate Zone: Cool,,,,,,
All-site Cancer,"794,083 (1.96‰)",178.96 ± 0.20,"804,027 (1.95‰)",165.82 ± 0.19,"806,025 (1.92‰)",151.86 ± 0.17
I00-I99,"1,117,495 (2.76‰)",245.92 ± 0.23,"1,104,738 (2.67‰)",222.51 ± 0.21,"1,162,585 (2.77‰)",217.04 ± 0.20
I20_I25,"554,554 (1.37‰)",122.07 ± 0.16,"506,639 (1.23‰)",102.00 ± 0.15,"482,497 (1.15‰)",89.81 ± 0.13
Lung Cancer,"220,319 (0.54‰)",49.92 ± 0.11,"214,185 (0.52‰)",44.13 ± 0.10,"193,730 (0.46‰)",36.01 ± 0.08
I60_I69,"181,668 (0.45‰)",40.05 ± 0.09,"175,149 (0.42‰)",35.45 ± 0.09,"187,708 (0.45‰)",35.14 ± 0.08
I10_I15,"76,454 (0.19‰)",16.73 ± 0.06,"88,005 (0.21‰)",17.65 ± 0.06,"113,144 (0.27‰)",21.16 ± 0.06
DOE Climate Zone: Cold,,,,,,
All-site Cancer,"190,765 (1.95‰)",171.58 ± 0.40,"196,978 (1.97‰)",160.69 ± 0.37,"201,539 (1.98‰)",149.34 ± 0.34
I00-I99,"253,812 (2.59‰)",221.43 ± 0.44,"255,147 (2.55‰)",202.91 ± 0.41,"271,155 (2.66‰)",199.46 ± 0.39
I20_I25,"121,776 (1.24‰)",106.54 ± 0.31,"115,755 (1.16‰)",92.21 ± 0.27,"115,085 (1.13‰)",84.56 ± 0.25
Lung Cancer,"51,533 (0.53‰)",46.64 ± 0.21,"51,919 (0.52‰)",42.28 ± 0.19,"48,019 (0.47‰)",34.98 ± 0.16
I60_I69,"44,754 (0.46‰)",39.02 ± 0.19,"43,029 (0.43‰)",34.29 ± 0.17,"44,624 (0.44‰)",32.86 ± 0.16
I10_I15,"14,333 (0.15‰)",12.37 ± 0.10,"17,367 (0.17‰)",13.69 ± 0.11,"25,489 (0.25‰)",18.67 ± 0.12
DOE Climate Zone: Very Cold,,,,,,
All-site Cancer,"25,727 (1.94‰)",171.54 ± 1.08,"26,692 (1.95‰)",162.05 ± 1.01,"26,710 (1.93‰)",147.99 ± 0.93
I00-I99,"33,418 (2.53‰)",221.59 ± 1.22,"32,862 (2.41‰)",200.28 ± 1.12,"33,945 (2.45‰)",190.52 ± 1.05
I20_I25,"15,969 (1.21‰)",105.69 ± 0.84,"14,850 (1.09‰)",90.01 ± 0.75,"14,072 (1.02‰)",78.18 ± 0.67
Lung Cancer,"7,000 (0.53‰)",46.57 ± 0.56,"7,283 (0.53‰)",44.04 ± 0.52,"6,539 (0.47‰)",35.40 ± 0.45
I60_I69,"6,239 (0.47‰)",41.56 ± 0.53,"5,941 (0.43‰)",36.51 ± 0.48,"5,962 (0.43‰)",33.77 ± 0.44
I10_I15,"1,773 (0.13‰)",11.65 ± 0.28,"1,974 (0.14‰)",11.95 ± 0.27,"2,718 (0.20‰)",15.33 ± 0.30
EQI National,,,,,,
All-site Cancer,"2,825,257 (1.86‰)",176.33 ± 0.11,"2,926,386 (1.85‰)",163.24 ± 0.10,"2,993,823 (1.83‰)",149.15 ± 0.09
I00-I99,"4,011,503 (2.64‰)",250.48 ± 0.13,"4,011,906 (2.54‰)",223.39 ± 0.11,"4,367,768 (2.67‰)",218.79 ± 0.11
I20_I25,"2,001,695 (1.32‰)",124.73 ± 0.09,"1,847,108 (1.17‰)",102.48 ± 0.08,"1,837,692 (1.13‰)",91.49 ± 0.07
Lung Cancer,"791,510 (0.52‰)",49.42 ± 0.06,"779,194 (0.49‰)",43.25 ± 0.05,"712,071 (0.44‰)",34.91 ± 0.04
I60_I69,"664,994 (0.44‰)",41.74 ± 0.05,"659,336 (0.42‰)",36.98 ± 0.05,"746,046 (0.46‰)",37.53 ± 0.04
I10_I15,"300,039 (0.20‰)",18.61 ± 0.03,"357,233 (0.23‰)",19.80 ± 0.03,"490,528 (0.30‰)",24.61 ± 0.04
EQI Q1,,,,,,
All-site Cancer,"108,639 (2.01‰)",176.80 ± 0.54,"113,057 (2.03‰)",165.66 ± 0.50,"116,624 (2.07‰)",154.94 ± 0.46
I00-I99,"168,960 (3.12‰)",284.18 ± 0.69,"168,524 (3.03‰)",252.34 ± 0.62,"183,861 (3.27‰)",247.39 ± 0.58
I20_I25,"84,083 (1.55‰)",140.72 ± 0.49,"78,387 (1.41‰)",116.64 ± 0.42,"80,094 (1.42‰)",107.14 ± 0.38
Lung Cancer,"32,246 (0.60‰)",51.60 ± 0.29,"31,982 (0.57‰)",45.92 ± 0.26,"29,885 (0.53‰)",38.68 ± 0.23
I60_I69,"26,199 (0.48‰)",44.29 ± 0.27,"26,301 (0.47‰)",39.54 ± 0.25,"31,496 (0.56‰)",42.28 ± 0.24
I10_I15,"12,133 (0.22‰)",20.47 ± 0.19,"14,110 (0.25‰)",21.30 ± 0.18,"20,030 (0.36‰)",27.31 ± 0.20
EQI Q2,,,,,,
All-site Cancer,"216,142 (2.23‰)",182.78 ± 0.40,"223,627 (2.25‰)",171.63 ± 0.37,"230,706 (2.26‰)",159.40 ± 0.34
I00-I99,"320,961 (3.32‰)",276.15 ± 0.49,"320,242 (3.22‰)",248.39 ± 0.44,"349,928 (3.42‰)",243.95 ± 0.42
I20_I25,"160,893 (1.66‰)",137.76 ± 0.35,"152,393 (1.53‰)",117.60 ± 0.30,"152,825 (1.50‰)",105.84 ± 0.28
Lung Cancer,"67,763 (0.70‰)",56.38 ± 0.22,"67,196 (0.68‰)",50.55 ± 0.20,"62,533 (0.61‰)",42.01 ± 0.17
I60_I69,"52,580 (0.54‰)",45.31 ± 0.20,"51,561 (0.52‰)",39.94 ± 0.18,"58,283 (0.57‰)",40.37 ± 0.17
I10_I15,"21,215 (0.22‰)",18.43 ± 0.13,"25,595 (0.26‰)",20.13 ± 0.13,"38,970 (0.38‰)",27.60 ± 0.14
EQI Q3,,,,,,
All-site Cancer,"374,287 (2.07‰)",182.78 ± 0.30,"388,915 (2.08‰)",171.00 ± 0.28,"400,430 (2.08‰)",157.54 ± 0.25
I00-I99,"538,147 (2.98‰)",264.99 ± 0.36,"540,704 (2.89‰)",239.35 ± 0.33,"593,271 (3.08‰)",235.95 ± 0.31
I20_I25,"266,422 (1.48‰)",130.69 ± 0.25,"250,652 (1.34‰)",110.40 ± 0.22,"253,342 (1.31‰)",99.97 ± 0.20
Lung Cancer,"111,382 (0.62‰)",53.93 ± 0.16,"110,903 (0.59‰)",48.11 ± 0.15,"102,764 (0.53‰)",39.51 ± 0.12
I60_I69,"90,564 (0.50‰)",44.75 ± 0.15,"90,171 (0.48‰)",40.03 ± 0.13,"103,261 (0.54‰)",41.03 ± 0.13
I10_I15,"41,069 (0.23‰)",20.26 ± 0.10,"48,091 (0.26‰)",21.39 ± 0.10,"67,363 (0.35‰)",27.06 ± 0.11
EQI Q4,,,,,,
All-site Cancer,"523,453 (2.01‰)",182.68 ± 0.25,"542,328 (2.00‰)",171.12 ± 0.24,"552,022 (1.98‰)",156.93 ± 0.21
I00-I99,"764,731 (2.93‰)",266.01 ± 0.31,"760,509 (2.81‰)",239.29 ± 0.28,"822,501 (2.95‰)",235.27 ± 0.26
I20_I25,"384,173 (1.47‰)",133.34 ± 0.22,"354,312 (1.31‰)",111.07 ± 0.19,"354,088 (1.27‰)",100.65 ± 0.17
Lung Cancer,"150,338 (0.58‰)",52.32 ± 0.14,"149,769 (0.55‰)",46.85 ± 0.12,"137,060 (0.49‰)",38.18 ± 0.10
I60_I69,"126,713 (0.49‰)",44.20 ± 0.12,"124,260 (0.46‰)",39.26 ± 0.11,"135,552 (0.49‰)",38.84 ± 0.11
I10_I15,"52,502 (0.20‰)",18.22 ± 0.08,"64,089 (0.24‰)",20.18 ± 0.08,"90,214 (0.32‰)",25.91 ± 0.09
EQI Q5,,,,,,
All-site Cancer,"1,602,736 (1.73‰)",172.40 ± 0.14,"1,658,459 (1.71‰)",158.35 ± 0.12,"1,694,041 (1.69‰)",143.80 ± 0.11
I00-I99,"2,218,704 (2.39‰)",237.51 ± 0.16,"2,221,927 (2.29‰)",210.62 ± 0.14,"2,418,207 (2.41‰)",205.87 ± 0.13
I20_I25,"1,106,124 (1.19‰)",118.32 ± 0.11,"1,011,364 (1.04‰)",95.64 ± 0.10,"997,343 (0.99‰)",84.43 ± 0.09
Lung Cancer,"429,781 (0.46‰)",46.58 ± 0.07,"419,344 (0.43‰)",40.13 ± 0.06,"379,829 (0.38‰)",31.93 ± 0.05
I60_I69,"368,938 (0.40‰)",39.76 ± 0.07,"367,043 (0.38‰)",35.14 ± 0.06,"417,454 (0.42‰)",35.81 ± 0.06
I10_I15,"173,120 (0.19‰)",18.30 ± 0.04,"205,348 (0.21‰)",19.25 ± 0.04,"273,951 (0.27‰)",23.24 ± 0.04
