ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,MRD_mean,MRD_lower,MRD_upper
C56,Ovary,2000_2005,2016_2020,15,Q2,1.6,1.45,1.78,0.89,0.71,1.06
C56,Ovary,2000_2005,2016_2020,15,Q3,2.0,1.81,2.23,1.49,1.31,1.66
C56,Ovary,2000_2005,2016_2020,15,Q4,2.29,2.06,2.57,1.92,1.73,2.12
C56,Ovary,2000_2005,2016_2020,15,Q5,2.52,2.24,2.84,2.25,2.05,2.45
C61,Prostate,2000_2005,2006_2010,5,Q2,1.3,1.23,1.38,2.17,1.7,2.64
C61,Prostate,2000_2005,2006_2010,5,Q3,1.33,1.25,1.4,2.36,1.91,2.81
C61,Prostate,2000_2005,2006_2010,5,Q4,1.3,1.23,1.38,2.2,1.75,2.65
C61,Prostate,2000_2005,2006_2010,5,Q5,1.3,1.22,1.38,2.15,1.66,2.65
C61,Prostate,2000_2005,2011_2015,10,Q2,1.42,1.33,1.5,2.38,1.99,2.78
C61,Prostate,2000_2005,2011_2015,10,Q3,1.46,1.37,1.55,2.63,2.25,3.04
C61,Prostate,2000_2005,2011_2015,10,Q4,1.44,1.35,1.53,2.51,2.12,2.91
C61,Prostate,2000_2005,2011_2015,10,Q5,1.47,1.38,1.58,2.72,2.3,3.16
C61,Prostate,2000_2005,2016_2020,15,Q2,1.25,1.18,1.33,1.53,1.14,1.92
C61,Prostate,2000_2005,2016_2020,15,Q3,1.34,1.26,1.41,2.06,1.68,2.42
C61,Prostate,2000_2005,2016_2020,15,Q4,1.36,1.29,1.44,2.21,1.82,2.58
C61,Prostate,2000_2005,2016_2020,15,Q5,1.37,1.28,1.45,2.24,1.82,2.63
C64_C65,Kidney,2000_2005,2006_2010,5,Q2,1.56,1.43,1.72,1.21,0.99,1.45
C64_C65,Kidney,2000_2005,2006_2010,5,Q3,1.88,1.71,2.07,1.9,1.66,2.14
C64_C65,Kidney,2000_2005,2006_2010,5,Q4,2.01,1.83,2.22,2.19,1.94,2.44
C64_C65,Kidney,2000_2005,2006_2010,5,Q5,2.1,1.9,2.33,2.39,2.14,2.65
C64_C65,Kidney,2000_2005,2011_2015,10,Q2,1.59,1.46,1.74,1.26,1.04,1.47
C64_C65,Kidney,2000_2005,2011_2015,10,Q3,1.9,1.73,2.09,1.92,1.69,2.15
C64_C65,Kidney,2000_2005,2011_2015,10,Q4,1.99,1.82,2.19,2.12,1.9,2.35
C64_C65,Kidney,2000_2005,2011_2015,10,Q5,2.1,1.91,2.32,2.35,2.12,2.6
C64_C65,Kidney,2000_2005,2016_2020,15,Q2,1.69,1.55,1.85,1.42,1.2,1.66
C64_C65,Kidney,2000_2005,2016_2020,15,Q3,1.84,1.68,2.02,1.74,1.52,1.95
C64_C65,Kidney,2000_2005,2016_2020,15,Q4,1.92,1.75,2.11,1.9,1.69,2.12
C64_C65,Kidney,2000_2005,2016_2020,15,Q5,1.96,1.78,2.17,1.98,1.76,2.22
C82_C85,NHL,2000_2005,2006_2010,5,Q2,1.62,1.5,1.76,2.07,1.77,2.37
C82_C85,NHL,2000_2005,2006_2010,5,Q3,1.88,1.74,2.04,2.94,2.63,3.24
C82_C85,NHL,2000_2005,2006_2010,5,Q4,2.0,1.84,2.17,3.33,3.01,3.64
C82_C85,NHL,2000_2005,2006_2010,5,Q5,2.1,1.93,2.29,3.67,3.35,3.99
C82_C85,NHL,2000_2005,2011_2015,10,Q2,1.48,1.37,1.6,1.48,1.2,1.76
C82_C85,NHL,2000_2005,2011_2015,10,Q3,1.8,1.67,1.95,2.5,2.21,2.78
C82_C85,NHL,2000_2005,2011_2015,10,Q4,2.0,1.85,2.17,3.12,2.82,3.41
C82_C85,NHL,2000_2005,2011_2015,10,Q5,2.03,1.87,2.21,3.2,2.91,3.51
C82_C85,NHL,2000_2005,2016_2020,15,Q2,1.6,1.48,1.73,1.64,1.39,1.9
C82_C85,NHL,2000_2005,2016_2020,15,Q3,1.86,1.72,2.01,2.36,2.1,2.61
C82_C85,NHL,2000_2005,2016_2020,15,Q4,2.0,1.84,2.17,2.74,2.47,3.01
C82_C85,NHL,2000_2005,2016_2020,15,Q5,2.07,1.91,2.26,2.94,2.67,3.21
