Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR
VD,"11,185 (0.03‰)",2.80 ± 0.03,"15,193 (0.04‰)",3.41 ± 0.03,"21,353 (0.05‰)",4.32 ± 0.03
ALS,"7,629 (0.02‰)",1.89 ± 0.02,"9,084 (0.02‰)",2.03 ± 0.02,"8,850 (0.02‰)",1.75 ± 0.02
HD,"1,046 (0.00‰)",0.26 ± 0.01,"1,173 (0.00‰)",0.27 ± 0.01,"1,352 (0.00‰)",0.28 ± 0.01
DOE Climate Zone: Cool,,,,,,
NDD,"284,361 (0.70‰)",61.39 ± 0.12,"368,945 (0.89‰)",72.85 ± 0.12,"412,568 (0.98‰)",76.10 ± 0.12
Dementia,"244,741 (0.60‰)",52.47 ± 0.11,"322,703 (0.78‰)",63.20 ± 0.11,"356,093 (0.85‰)",65.31 ± 0.11
AD,"107,300 (0.27‰)",23.10 ± 0.07,"118,851 (0.29‰)",23.43 ± 0.07,"151,736 (0.36‰)",27.98 ± 0.07
PD,"30,217 (0.07‰)",6.78 ± 0.04,"35,771 (0.09‰)",7.47 ± 0.04,"46,469 (0.11‰)",8.91 ± 0.04
VD,"12,065 (0.03‰)",2.60 ± 0.02,"17,755 (0.04‰)",3.49 ± 0.03,"23,883 (0.06‰)",4.39 ± 0.03
ALS,"9,403 (0.02‰)",2.14 ± 0.02,"10,471 (0.03‰)",2.17 ± 0.02,"10,006 (0.02‰)",1.88 ± 0.02
HD,"1,433 (0.00‰)",0.32 ± 0.01,"1,610 (0.00‰)",0.34 ± 0.01,"1,774 (0.00‰)",0.36 ± 0.01
DOE Climate Zone: Cold,,,,,,
NDD,"76,082 (0.78‰)",64.83 ± 0.24,"96,278 (0.96‰)",74.79 ± 0.24,"109,244 (1.07‰)",79.30 ± 0.24
