Time_Period,ICD-10 Code,Outcome,Stratum_Type,Stratum_Value,Stratum_Label,Total_Deaths,Total_Population,AAMR,AAMR_SE,AAMR_Lower,AAMR_Upper,AAMRSE
2006-2010,C50,Breast Cancer,Cluster_k5,1,Low EQI,2987,20495378,12.0357,0.2226,11.6079,12.4753,12.04 ± 0.22
2006-2010,C50,Breast Cancer,Cluster_k5,2,Medium EQI,57886,393303442,13.0588,0.0546,12.9526,13.1656,13.06 ± 0.05
2006-2010,C50,Breast Cancer,Cluster_k5,3,High EQI,19829,148681280,11.9897,0.086,11.8234,12.1578,11.99 ± 0.09
2006-2010,C50,Breast Cancer,Cluster_k5,4,Very High EQI,121257,927043681,12.7628,0.0369,12.6911,12.8348,12.76 ± 0.04
2006-2010,C50,Breast Cancer,Cluster_k5,National,National,205392,1518958033,12.7111,0.0282,12.6562,12.7662,12.71 ± 0.03
2006-2010,C56,Ovary Cancer,Cluster_k3,0,Low EQI,3818,81106909,4.0727,0.0665,3.9445,4.2039,4.07 ± 0.07
2006-2010,C56,Ovary Cancer,Cluster_k3,1,Medium EQI,22126,428983518,4.5523,0.0307,4.4925,4.6127,4.55 ± 0.03
2006-2010,C56,Ovary Cancer,Cluster_k3,2,High EQI,46799,1008867606,4.5371,0.0211,4.4961,4.5784,4.54 ± 0.02
2006-2010,C56,Ovary Cancer,Cluster_k3,National,National,72743,1518958033,4.5134,0.0168,4.4806,4.5463,4.51 ± 0.02
2006-2010,C56,Ovary Cancer,Cluster_k4,0,Very Low EQI,2324,51121576,4.0185,0.0839,3.8568,4.1853,4.02 ± 0.08
2006-2010,C56,Ovary Cancer,Cluster_k4,1,Low EQI,6000,125026104,4.2205,0.0549,4.1144,4.3286,4.22 ± 0.05
2006-2010,C56,Ovary Cancer,Cluster_k4,2,Medium EQI,20709,398153791,4.5928,0.0321,4.5305,4.6558,4.59 ± 0.03
2006-2010,C56,Ovary Cancer,Cluster_k4,3,High EQI,43710,944656562,4.5543,0.0219,4.5117,4.5972,4.55 ± 0.02
2006-2010,C56,Ovary Cancer,Cluster_k4,National,National,72743,1518958033,4.5134,0.0168,4.4806,4.5463,4.51 ± 0.02
2006-2010,C56,Ovary Cancer,Cluster_k5,0,Very Low EQI,1191,29434252,3.8268,0.1114,3.6125,4.0504,3.83 ± 0.11
2006-2010,C56,Ovary Cancer,Cluster_k5,1,Low EQI,1040,20495378,4.1637,0.1302,3.9145,4.4247,4.16 ± 0.13
2006-2010,C56,Ovary Cancer,Cluster_k5,2,Medium EQI,20415,393303442,4.5826,0.0322,4.5199,4.6459,4.58 ± 0.03
2006-2010,C56,Ovary Cancer,Cluster_k5,3,High EQI,7049,148681280,4.2234,0.0507,4.1254,4.3232,4.22 ± 0.05
2006-2010,C56,Ovary Cancer,Cluster_k5,4,Very High EQI,43048,927043681,4.5688,0.0222,4.5258,4.6122,4.57 ± 0.02
2006-2010,C56,Ovary Cancer,Cluster_k5,National,National,72743,1518958033,4.5134,0.0168,4.4806,4.5463,4.51 ± 0.02
2006-2010,C61,Prostate Cancer,Cluster_k3,0,Low EQI,8947,81106909,9.8187,0.1042,9.6163,10.0243,9.82 ± 0.10
2006-2010,C61,Prostate Cancer,Cluster_k3,1,Medium EQI,43918,428983518,9.0102,0.0431,8.9261,9.0949,9.01 ± 0.04
