ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"G20_G30_G12.2_F01_F03",5,"Cluster_NLCD_D_Social","-2.12(-5.50,1.23)","-0.19(-6.66,6.31)","13.36(9.82,16.91)***","0.23(-0.70,1.19)","0.2222","0.9625","1.0001","1.0048",4872,8001,3477,3688,1.0048,136
"G20_G30_G12.2_F01_F03",10,"EQI","-0.65(-1.87,0.57)","0.70(-0.65,2.02)","1.41(-0.14,3.03)","-0.08(-0.56,0.40)","0.3093","0.3189","1.0021","0.9999",4263,4646,3688,3696,1.0021,3136
"G20_G30_G12.2_F01_F03",10,"Air","-2.69(-3.84,-1.48)***","0.09(-1.32,1.54)","2.28(0.78,3.77)**","-0.17(-0.63,0.29)","0.0002","0.9121","1.0003","1.0018",6059,6218,3771,3690,1.0024,3136
"G20_G30_G12.2_F01_F03",10,"Water","-0.64(-2.56,1.24)","0.71(-0.95,2.35)","1.22(-0.24,2.69)","-0.07(-0.52,0.38)","0.5164","0.4172","1.0005","1.0006",5194,5119,3795,3786,1.0018,3136
"G20_G30_G12.2_F01_F03",10,"Land","-1.51(-2.77,-0.27)*","-0.24(-1.62,1.14)","1.97(0.30,3.68)*","-0.09(-0.55,0.37)","0.0165","0.7396","1.0012","1.0007",5389,5903,3585,3431,1.0032,3136
"G20_G30_G12.2_F01_F03",10,"Built","0.45(-1.00,1.98)","-0.03(-1.59,1.52)","0.99(-0.82,2.89)","-0.08(-0.53,0.37)","0.5522","0.9596","1.0027","1.0020",4636,4453,3893,3787,1.0027,3136
"G20_G30_G12.2_F01_F03",10,"Social","-2.08(-3.71,-0.47)*","1.50(-0.26,3.25)","1.66(-0.35,3.61)","-0.35(-0.81,0.12)","0.0123","0.0973","1.0013","1.0008",3755,3995,3523,3894,1.0051,3136
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_A_EQI","1.62(-2.45,5.73)","-1.57(-4.33,1.17)","0.64(-2.00,3.29)","-1.09(-2.02,-0.16)*","0.4326","0.2564","1.0008","1.0016",5636,4109,3934,3955,1.0024,1010
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_A_Air","-1.53(-4.65,1.71)","-1.13(-3.83,1.66)","0.55(-1.71,2.77)","-1.11(-2.06,-0.14)*","0.3572","0.4243","1.0001","1.0011",5018,4885,3593,4025,1.0011,1010
"G20_G30_G12.2_F01_F03",10,"Cluster_EQI_A_Water","-0.33(-4.37,3.83)","-1.82(-5.57,2.04)","0.16(-1.81,2.13)","-1.02(-1.97,-0.06)*","0.8834","0.3556","1.0001","1.0012",6603,6413,3864,3275,1.0017,1010
