ICD_Code,Lag,Model,MRD_Improved,MRD_Worsened,Intercept,SM,Improved_p,Worsened_p,Improved_rhat,Worsened_rhat,Improved_ess_bulk,Worsened_ess_bulk,Improved_ess_tail,Worsened_ess_tail,Rhat_max,N
"N00_N29_C64_C65",10,"Cluster_EQI_C_Land","-0.74(-1.32,-0.14)*","0.50(-0.26,1.27)","2.60(1.73,3.44)***","0.37(0.09,0.64)*","0.0131","0.2097","1.0021","1.0008",6240,5238,3949,3727,1.0021,1380
"N00_N29_C64_C65",10,"Cluster_EQI_C_Built","0.25(-0.52,1.03)","0.15(-0.71,0.97)","2.15(1.17,3.13)***","0.41(0.12,0.70)**","0.5305","0.7234","1.0002","1.0006",4514,4822,3403,4039,1.0009,1380
"N00_N29_C64_C65",10,"Cluster_EQI_C_Social","-1.41(-2.31,-0.49)**","0.14(-1.19,1.44)","3.36(2.30,4.41)***","0.32(0.05,0.60)*","0.0031","0.8200","1.0009","1.0020",3638,4353,4003,3943,1.002,1380
"N00_N29_C64_C65",10,"Cluster_NLCD_A_EQI","0.73(-0.08,1.52)","1.04(0.17,1.91)*","1.23(0.37,2.13)**","0.28(-0.04,0.61)","0.0760","0.0219","1.0001","0.9998",4921,5327,3509,3812,1.0002,1593
"N00_N29_C64_C65",10,"Cluster_NLCD_A_Air","0.29(-0.51,1.09)","0.43(-0.53,1.39)","1.53(0.65,2.44)**","0.26(-0.07,0.59)","0.4730","0.3885","0.9998","0.9998",4589,4559,4015,3508,1.002,1593
"N00_N29_C64_C65",10,"Cluster_NLCD_A_Water","0.26(-0.98,1.52)","-0.94(-2.02,0.16)","1.82(1.00,2.61)***","0.26(-0.07,0.60)","0.7017","0.0977","1.0009","1.0006",5304,5930,3654,4296,1.001,1593
"N00_N29_C64_C65",10,"Cluster_NLCD_A_Land","-0.54(-1.38,0.30)","-0.26(-1.36,0.81)","2.11(1.12,3.12)***","0.25(-0.10,0.60)","0.2014","0.6292","1.0007","1.0015",5069,5105,3753,4110,1.0015,1593
"N00_N29_C64_C65",10,"Cluster_NLCD_A_Built","-0.31(-1.30,0.72)","-0.28(-1.31,0.75)","1.99(0.87,3.12)***","0.26(-0.06,0.59)","0.5338","0.5934","1.0001","1.0006",4328,4373,4153,3888,1.001,1593
"N00_N29_C64_C65",10,"Cluster_NLCD_A_Social","-1.33(-2.44,-0.26)*","-0.87(-2.01,0.27)","2.68(1.49,3.85)***","0.21(-0.14,0.57)","0.0123","0.1318","1.0014","1.0008",4641,4541,3869,3849,1.0014,1593
"N00_N29_C64_C65",10,"Cluster_NLCD_B_EQI","-0.58(-1.58,0.41)","-0.59(-1.67,0.60)","1.86(0.81,2.92)***","0.22(-0.07,0.52)","0.2431","0.3035","1.0010","1.0016",3748,3841,3402,3426,1.0016,374
