ICD_Code,Model,Lag,MRD_Q_Improved,MRD_Q_Worsened,Intercept_Baseline_Change,Control_delta_Smoking_Rate,N_Counties,Rhat_max,,,
C00_C97,RUCC1_Air,10,"0.41(-1.15,1.95)","3.17(0.43,5.78)*","-13.69(-15.33,-12.00)***","0.23(-0.32,0.75)",1165,1.0032,,,
C00_C97,RUCC1_Water,10,"1.14(-1.26,3.51)","1.15(-1.05,3.37)","-13.28(-14.53,-12.05)***","0.30(-0.27,0.85)",1165,1.002,,,
C00_C97,RUCC1_Land,10,"-0.96(-2.57,0.75)","2.38(0.31,4.40)*","-13.11(-14.79,-11.45)***","0.26(-0.34,0.80)",1165,1.0023,,,
C00_C97,RUCC1_Built,10,"-2.00(-4.15,0.15)","1.07(-1.26,3.39)","-12.07(-14.28,-9.80)***","0.35(-0.19,0.88)",1165,1.0009,,,
C00_C97,RUCC1_Social,10,"0.05(-2.24,2.39)","2.98(-0.33,6.30)","-13.41(-15.75,-11.14)***","0.24(-0.36,0.79)",1165,1.0016,,,
C00_C97,RUCC1_Air_Multi,10,"0.05(-1.46,1.56)","2.03(-1.00,4.89)","-13.78(-17.06,-10.54)***","0.39(-0.16,0.94)",1165,1.0014,,,
C00_C97,RUCC1_Water_Multi,10,"0.17(-2.08,2.53)","1.28(-0.95,3.54)","-13.78(-17.06,-10.54)***","0.39(-0.16,0.94)",1165,1.0014,,,
C00_C97,RUCC1_Land_Multi,10,"-0.19(-1.84,1.41)","2.60(0.53,4.62)*","-13.78(-17.06,-10.54)***","0.39(-0.16,0.94)",1165,1.0014,,,
C00_C97,RUCC1_Built_Multi,10,"-1.86(-3.83,0.21)","0.77(-1.46,3.02)","-13.78(-17.06,-10.54)***","0.39(-0.16,0.94)",1165,1.0014,,,
C00_C97,RUCC1_Social_Multi,10,"1.15(-1.11,3.41)","1.27(-2.19,4.77)","-13.78(-17.06,-10.54)***","0.39(-0.16,0.94)",1165,1.0014,,,
C00_C97,RUCC2_EQI,10,"0.20(-3.16,3.62)","-1.56(-5.64,2.68)","-6.22(-9.96,-3.02)***","2.07(0.60,3.45)**",306,1.0039,,,
C00_C97,RUCC2_Air,10,"-0.46(-3.98,3.10)","-3.27(-7.62,0.71)","-5.27(-8.75,-2.05)**","2.28(0.78,3.67)**",306,1.0021,,,
C00_C97,RUCC2_Water,10,"-3.18(-10.22,2.65)","-2.26(-7.41,3.15)","-6.11(-9.42,-3.19)***","2.12(0.61,3.57)**",306,1.0044,,,
C00_C97,RUCC2_Land,10,"0.06(-3.85,4.08)","-3.58(-7.58,0.17)","-5.34(-8.77,-2.19)**","2.09(0.56,3.58)**",306,1.0026,,,
C00_C97,RUCC2_Built,10,"-2.81(-6.93,1.34)","-3.78(-8.17,0.92)","-3.47(-8.29,0.78)","2.33(0.74,3.76)**",306,1.0016,,,
C00_C97,RUCC2_Social,10,"2.13(-1.70,6.09)","-1.11(-5.34,3.02)","-6.32(-10.42,-2.71)***","2.59(1.01,3.95)**",306,1.0011,,,
C00_C97,RUCC2_Air_Multi,10,"-0.85(-4.99,3.29)","-4.61(-8.48,-0.61)*","-1.64(-6.99,3.81)","2.47(1.03,3.87)***",306,1.0034,,,
C00_C97,RUCC2_Water_Multi,10,"-5.89(-10.89,-0.46)*","-3.67(-8.95,2.36)","-1.64(-6.99,3.81)","2.47(1.03,3.87)***",306,1.0034,,,
C00_C97,RUCC2_Land_Multi,10,"-1.06(-4.89,2.74)","-3.84(-7.90,-0.05)*","-1.64(-6.99,3.81)","2.47(1.03,3.87)***",306,1.0034,,,
C00_C97,RUCC2_Built_Multi,10,"-1.87(-6.00,2.05)","-2.42(-7.80,2.87)","-1.64(-6.99,3.81)","2.47(1.03,3.87)***",306,1.0034,,,
C00_C97,RUCC2_Social_Multi,10,"2.09(-1.98,6.03)","0.69(-3.80,4.89)","-1.64(-6.99,3.81)","2.47(1.03,3.87)***",306,1.0034,,,
C00_C97,RUCC3_EQI,10,"1.73(-3.22,6.41)","0.17(-4.40,4.82)","-6.41(-10.64,-2.41)**","1.57(-0.43,3.38)",1026,1.0022,,,
C00_C97,RUCC3_Air,10,"-0.86(-5.54,3.69)","0.90(-3.58,5.45)","-6.11(-10.24,-2.11)**","1.35(-0.61,3.22)",1026,1.0086,,,
C00_C97,RUCC3_Water,10,"-1.64(-8.54,4.83)","-0.14(-5.74,5.29)","-5.88(-9.27,-2.59)***","1.43(-0.41,3.26)",1026,1.0017,,,
C00_C97,RUCC3_Land,10,"2.07(-2.82,6.87)","-1.89(-6.61,2.75)","-5.55(-10.34,-0.88)*","1.62(-0.27,3.47)",1026,1.0019,,,
C00_C97,RUCC3_Built,10,"-0.44(-5.27,4.38)","0.99(-4.18,6.20)","-6.15(-11.05,-1.30)**","1.40(-0.45,3.27)",1026,1.0003,,,
C00_C97,RUCC3_Social,10,"-2.44(-7.98,3.04)","-1.08(-5.82,3.72)","-5.04(-10.08,-0.38)*","1.27(-0.66,3.18)",1026,1.0015,,,
C00_C97,RUCC3_Air_Multi,10,"-0.09(-5.02,4.71)","1.53(-3.00,5.75)","-5.27(-11.58,0.73)","1.38(-0.53,3.28)",1026,1.0388,,,
C00_C97,RUCC3_Water_Multi,10,"-1.94(-8.59,4.69)","-0.38(-5.73,4.96)","-5.27(-11.58,0.73)","1.38(-0.53,3.28)",1026,1.0388,,,
C00_C97,RUCC3_Land_Multi,10,"2.20(-2.65,7.09)","-2.14(-6.83,2.91)","-5.27(-11.58,0.73)","1.38(-0.53,3.28)",1026,1.0388,,,
C00_C97,RUCC3_Built_Multi,10,"-0.31(-4.97,4.73)","1.39(-3.70,6.54)","-5.27(-11.58,0.73)","1.38(-0.53,3.28)",1026,1.0388,,,
C00_C97,RUCC3_Social_Multi,10,"-2.64(-8.31,2.70)","-1.16(-5.97,3.74)","-5.27(-11.58,0.73)","1.38(-0.53,3.28)",1026,1.0388,,,
C00_C97,RUCC4_EQI,10,"0.73(-7.30,8.68)","0.56(-6.29,7.59)","-7.65(-13.91,-1.40)*","1.34(-2.43,5.06)",639,1.0016,,,
C00_C97,RUCC4_Air,10,"-1.79(-11.03,7.40)","-6.87(-13.50,-0.03)*","-4.60(-10.78,1.65)","0.50(-3.18,4.09)",639,1.0001,,,
C00_C97,RUCC4_Water,10,"-0.52(-8.66,7.96)","1.33(-6.62,9.12)","-7.49(-13.34,-1.88)**","1.21(-2.49,4.86)",639,1.0031,,,
C00_C97,RUCC4_Land,10,"4.20(-2.87,11.27)","-3.73(-10.71,3.40)","-7.23(-13.26,-1.13)*","1.30(-2.19,4.85)",639,1.0029,,,
C00_C97,RUCC4_Built,10,"-1.28(-8.72,6.00)","-0.82(-8.29,6.44)","-6.93(-13.29,-0.53)*","1.16(-2.57,4.95)",639,1.0011,,,
C00_C97,RUCC4_Social,10,"-3.21(-11.51,5.24)","-5.88(-12.96,0.96)","-3.83(-10.54,2.96)","0.81(-2.71,4.49)",639,1.0026,,,
C00_C97,RUCC4_Air_Multi,10,"-1.67(-10.62,7.28)","-5.84(-12.33,1.06)","-2.58(-10.28,5.07)","0.47(-3.19,4.20)",639,1.0053,,,
C00_C97,RUCC4_Water_Multi,10,"0.74(-7.29,8.65)","1.89(-6.00,9.64)","-2.58(-10.28,5.07)","0.47(-3.19,4.20)",639,1.0053,,,
C00_C97,RUCC4_Land_Multi,10,"4.65(-2.94,12.44)","-2.28(-9.30,4.86)","-2.58(-10.28,5.07)","0.47(-3.19,4.20)",639,1.0053,,,
C00_C97,RUCC4_Built_Multi,10,"-0.99(-8.45,6.41)","1.04(-6.09,8.12)","-2.58(-10.28,5.07)","0.47(-3.19,4.20)",639,1.0053,,,
C00_C97,RUCC4_Social_Multi,10,"-2.95(-10.97,5.08)","-5.32(-12.43,1.81)","-2.58(-10.28,5.07)","0.47(-3.19,4.20)",639,1.0053,,,
C00_C97,Within_RUCC_EQI,10,"-1.31(-3.27,0.61)","2.15(-0.11,4.37)","-12.03(-14.03,-10.03)***","0.28(-0.25,0.81)",3136,1.0011,,,
C00_C97,Within_RUCC_Air,10,"-0.55(-2.23,1.05)","1.95(-0.08,3.95)","-12.11(-13.78,-10.26)***","0.47(-0.08,1.00)",3136,1.0014,,,
C00_C97,Within_RUCC_Water,10,"0.05(-2.53,2.57)","0.18(-1.72,2.02)","-11.97(-13.25,-10.67)***","0.53(-0.01,1.07)",3136,1.0022,,,
C00_C97,Within_RUCC_Land,10,"-0.10(-1.60,1.52)","1.14(-0.64,2.94)","-12.28(-13.82,-10.75)***","0.48(-0.07,1.03)",3136,1.0021,,,
C00_C97,Within_RUCC_Built,10,"-1.53(-3.61,0.54)","1.68(-0.60,3.93)","-11.53(-13.67,-9.35)***","0.45(-0.07,0.96)",3136,1.0025,,,
C00_C97,Within_RUCC_Social,10,"-1.64(-3.20,-0.07)*","3.06(1.05,4.94)**","-11.64(-13.29,-10.01)***","0.49(-0.05,1.03)",3136,1.0017,,,
